,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1985,Aagaya Thamaraigal,V. Azhagappan,"Suresh, Revathi, Sathyaraj, Goundamani, Manorama, Senthil, S. S. Chandran",null,Yuvaraj Productions,/wiki/Aagaya_Thamaraigal,Gangai Amaran,7,
2,1985,Aan Paavam,Pandiarajan,"Pandiyan, Pandiarajan, Revathi, Seetha, V. K. Ramasamy, Janagaraj",null,Alamu Movies,/wiki/Aan_Paavam,Ilaiyaraaja,6,7.7
3,1985,Aandavan Sothu,M. Karnan,"Jaishankar, Madhavi",null,Kalaithottam,/w/index.php?title=Aandavan_Sothu&action=edit&redlink=1,Sankar Ganesh,2,4.8
4,1985,Aasha,V. T. Thyagarajan,"Suresh, Nalini",null,V. T. T. Creation,/w/index.php?title=Aasha_(1985_film)&action=edit&redlink=1,K. V. Mahadevan,2,6.4
5,1985,Aduthathu Albert,G. N. Rangarajan,"Prabhu, Urvashi, Poornima Bhagyaraj, Y. G. Mahendra",null,Kumaravel Films,/wiki/Aduthathu_Albert,Ilaiyaraaja,4,5.6
6,1985,Alai Osai,Sirumugai Ravi,"Vijayakanth, Nalini, Radha Ravi, Goundamani, Senthil",null,Thirumal Cine Films,/wiki/Alai_Osai,Ilaiyaraaja,5,6.8
7,1985,Ammavum Neeye Appavum Neeye,S. P. Muthuraman,"Rajesh, Saritha, Y. G. Mahendra",null,Vasan Brothers,/w/index.php?title=Ammavum_Neeye_Appavum_Neeye&action=edit&redlink=1,M. S. Viswanathan,3,
8,1985,Amutha Gaanam,K. Rangaraj,"Vijayakanth, Nalini, Sulakshana, Baby Shalini",null,Vasan Pictures,/w/index.php?title=Amutha_Gaanam&action=edit&redlink=1,Ilaiyaraaja,4,
9,1985,Anbin Mugavari,Manivannan,"Mohan, Viji, Sasikala, Goundamani, Sathyaraj, Janagaraj, Senthil, Y. Vijaya, Kovai Sarala",null,Sri Meenakshi Productions,/w/index.php?title=Anbin_Mugavari&action=edit&redlink=1,Ilaiyaraaja,9,5.2
10,1985,Andha Oru Nimidam,Major Sundarrajan,"Kamal Haasan, Urvashi, Major Sundarrajan, Y. G. Mahendra, Jayamalini, Anuradha",null,Geethakamalam Movies,/wiki/Andha_Oru_Nimidam,Ilaiyaraaja,6,7.0
11,1985,Annai Bhoomi,R. Thyagarajan,"Vijayakanth, Nalini, Radha Ravi, Goundamani",null,Devar Films,/wiki/Annai_Bhoomi_3D,Ilaiyaraaja,4,8.2
12,1985,Anni,Karthick Raghunath,"Mohan, Saritha, Jaishankar, Deepa, Rohini, Manorama, Janagaraj",null,Jay Vee Movies,/w/index.php?title=Anni_(1985_film)&action=edit&redlink=1,Gangai Amaran,7,
13,1985,Anthasthu,R. Thyagarajan,"Jaishankar, Lakshmi, Murali, Ilavarasi, Goundamani, Y. G. Mahendra",null,Devar Films,/wiki/Anthasthu,Sankar Ganesh,6,
14,1985,Arthamulla Aasaigal,Babu Maharaja,"Karthik, Ambika, Anand Babu, Jaishankar",null,Peninsula Productions,/wiki/Arthamulla_Aasaigal,Gangai Amaran,4,
15,1985,Aval Sumangalithan,Visu,"Karthik, K. R. Vijaya, Visu, Ilavarasi, Chandrasekhar, Kismu, Nisha",null,Kavithalayaa Productions,/wiki/Aval_Sumangalithan,M. S. Viswanathan,7,5.0
16,1985,Avan,Chozha Rajan,"Arjun, Ilavarasi, Goundamani",null,K. R. K. Art Films,/wiki/Avan_(1985_film),Sankar Ganesh,3,4.0
17,1985,Bandham,K. Vijayan,"Sivaji Ganesan, Anand Babu, Kajal Kiran, Jaishankar, Baby Shalini",null,Sujatha Cine Arts,/wiki/Bandham_(1985_film),Sankar Ganesh,5,6.2
18,1985,Chain Jayapal,Rama Narayanan,"Rajesh, Ilavarasi, Radha Ravi, Sathyaraj, Anuradha, S. S. Chandran, Sadhana",null,Baskar Art Movies,/wiki/Chain_Jayapal,Sankar Ganesh,7,
19,1985,Chidambara Rahasiyam,Visu,"S. Ve. Shekher, Visu, Ilavarasi, Arun Pandian, Kismu, Manorama",null,M. M. Film Circuit,/wiki/Chidambara_Rahasiyam_(film),Sankar Ganesh,6,6.4
20,1985,Chinna Veedu,K. Bhagyaraj,"K. Bhagyaraj, Kalpana, Anu, Jaiganesh, Manorama",null,Jaya Vijaya Movies,/wiki/Chinna_Veedu,Ilaiyaraaja,5,6.8
21,1985,Chithirame Chithirame,Vittal Gnanam,"Rajesh, Lakshmi, Sadhana, Senthil",null,Amara Creations,/w/index.php?title=Chithirame_Chithirame&action=edit&redlink=1,Sivaji Raja,4,6.1
