,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1979,Aadu Pambe,Amirtham,"Jaishankar, Sangeeta, Sumithra",null,Poompuhar Productions,/w/index.php?title=Aadu_Pambe&action=edit&redlink=1,M. S. Viswanathan,3,
2,1979,Aarilirunthu Arubathu Varai,S. P. Muthuraman,"Rajinikanth, Fatafat Jayalaxmi, Jaya Guhanathan, Cho, Sangeetha",null,P. A. Art Productions,/wiki/Aarilirunthu_Arubathu_Varai,Ilaiyaraaja,5,8.3
3,1979,Aasaikku Vayasillai,Gopu,"R. Muthuraman, K. R. Vijaya",null,Shanmugam Cine Enterprises,/w/index.php?title=Aasaikku_Vayasillai&action=edit&redlink=1,M. S. Viswanathan,2,
4,1979,Adhisaya Raagam,Mohanraj-Suresh,"Delhi Ganesh, Jamila",null,Film Talents Acedamy,/w/index.php?title=Adhisaya_Raagam&action=edit&redlink=1,,2,7.5
5,1979,Adukku Malli,K. S. Gopalakrishnan,"Vijayakumar, Sujatha, Vanitha, Thengai Srinivasan",null,Meena Art Pictures,/w/index.php?title=Adukku_Malli&action=edit&redlink=1,Sankar Ganesh,4,
6,1979,Agal Vilakku,R. Selvaraj,"Vijayakanth, Shoba",null,Sunil Pictures,/wiki/Agal_Vilakku,Ilaiyaraaja,2,6.4
7,1979,Allaudinaum Arputha Vilakkum,I. V. Sasi,"Kamal Haasan, Gemini Ganesan, Rajinikanth, Jayabharathi, Sripriya, Savitri",null,Supriya Creations,/wiki/Allauddinum_Albhutha_Vilakkum,G. Devarajan,6,6.6
8,1979,Alankari,Gopu,"Suruli Rajan, Manorama",null,Durga Bagavathy Films,/w/index.php?title=Alankari&action=edit&redlink=1,Vijaya Bhaskar,2,6.5
9,1979,Anbe Sangeetha,K. Narayanan,"Jai Ganesh, Sumithra, Raadhika, Thengai Srinivasan",null,Alagu Movies,/w/index.php?title=Anbe_Sangeetha&action=edit&redlink=1,Ilaiyaraaja,4,
10,1979,Anbin Alaigal,M. Mastan,"Master Sekhar, 'Baby' Indira",null,Silver Screen Entertainment,/w/index.php?title=Anbin_Alaigal&action=edit&redlink=1,A. T. Ummer,2,5.2
11,1979,Annai Oru Aalayam,R. Thyagarajan,"Rajinikanth, Sripriya, Anjali Devi",null,Devar Films,/wiki/Annai_Oru_Aalayam,Ilaiyaraaja,3,7.0
12,1979,Appothe Sonnene Kettiya,V. T. Arasu,Sathyapriya,null,Shasti Films,/w/index.php?title=Appothe_Sonnene_Kettiya&action=edit&redlink=1,Jaya Vijaya,1,3.8
13,1979,Azhage Unnai Aarathikkiren,C. V. Sridhar,"Vijayakumar, Latha, Jai Ganesh, Nagesh",null,Sri Bharani Chithra Enterprises,/wiki/Azhage_Unnai_Aarathikkiren,Ilaiyaraaja,4,5.8
14,1979,Azhiyatha Kolangal,Balu Mahendra,"Shoba, Pratap K. Pothen",null,Devi Films,/wiki/Azhiyatha_Kolangal,Salil Chowdhury,2,6.8
15,1979,Chellakili,K. M. Balakrishnan,"Vijayakumar, Sumithra, Sripriya",null,Vallivelan Movies,/w/index.php?title=Chellakili&action=edit&redlink=1,M. S. Viswanathan,3,
