,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1980,Aayiram Vaasal Idhayam,A. Jagannathan,"Sudhakar, Raadhika, Roja Ramani, Thengai Srinivasan",null,Selvam Arts,/wiki/Aayiram_Vaasal_Idhayam,Ilaiyaraaja[]{திஞா},4,
2,1980,Rishi Moolam,S. P. Muthuraman,"Sivaji Ganesan, K. R. Vijaya",null,S. S. K. Films,/wiki/Rishi_Moolam,Ilaiyaraaja,2,4.5
3,1980,Billa,R. Krishnamurthy,"Rajinikanth, Sripriya, Helen, K. Balaji",null,Suresh Arts,/wiki/Billa_(1980_film),M. S. Viswanathan[]{திஞா},4,7.4
4,1980,Deiveega Raagangal,A. Veerappan,"Srikanth, Vadivukkarasi, Roja Ramani",null,Aachi Cine Arts,/wiki/Deiveega_Raagangal,M. S. Viswanathan,3,
5,1980,Avan Aval Adhu,V. Srinivasan,"Sivakumar, Lakshmi, Sripriya, Thengai Srinivasan, Manorama",null,Maya Arts,/wiki/Avan_Aval_Adhu,M. S. Viswanathan,5,4.4
6,1980,Yamanukku Yaman,D. Yoganand,"Sivaji Ganesan, Sripriya",null,Lakshmi Narasimha Pictures,/wiki/Yamanukku_Yaman,K. Chakravarthy,2,6.2
7,1980,Andharangam Oomaiyanathu,G. Premkumar,"Sarath Babu, Jose, M. G. Soman, Roopa, Rajani Sharma, Jayamalini, Jalaja, Suruli Rajan",null,Lankal Films,/w/index.php?title=Andharangam_Oomaiyanathu&action=edit&redlink=1,K. J. Joy,8,5.8
8,1980,Anna Paravai,R. Pattabhiraman,"Latha, Srikanth, Sudhakar, Raadhika",null,Thiru Vadapalani Films,/w/index.php?title=Anna_Paravai&action=edit&redlink=1,R. Ramanujam,4,
9,1980,Anbukku Naan Adimai,R. Thyagarajan,"Rajinikanth, Rathi, Vijayan, Sujatha, Thengai Srinivasan",null,Devar Films,/wiki/Anbukku_Naan_Adimai,Ilaiyaraaja,5,6.1
10,1980,Azhaithal Varuven,P. R. Somu,"Sudhakar, Sumalatha, Vadivukkarasi, Suruli Rajan",null,R. R. Arts,/w/index.php?title=Azhaithal_Varuven&action=edit&redlink=1,M. S. Viswanathan,4,
