,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,2006,Paramasivan,P. Vasu,"Ajith Kumar, Laila, Jayaram",Action,,/wiki/Paramasivan,3,"Vidyasagar,Vidyasagar",4.3
2,2006,Saravana,K. S. Ravikumar,"Silambarasan, Jyothika, Prakash Raj",Action,,/wiki/Saravana,3,Srikanth Deva,5.0
3,2006,Aathi,Ramana,"Vijay, Trisha",Action,,/wiki/Aathi,2,"Vidyasagar,Vidyasagar",3.8
4,2006,Pasa Kiligal,Amirtham,"Prabhu, Murali, Vineeth, Navya Nair, Malavika, Roja",Drama,,/wiki/Pasa_Kiligal,6,"Vidyasagar,Vidyasagar",4.6
5,2006,Dishyum,Sasi,"Jiiva, Sandhya",Romance,,/wiki/Dishyum,2,Vijay Antony,5.3
6,2006,Idhaya Thirudan,Saran,"Jayam Ravi, Kamna Jethmalani, Prakash Raj",Romance,,/wiki/Idhaya_Thirudan,3,"Bharadwaj,Bharadwaj",3.3
7,2006,Amirtham,K. Kannan,"Ganesh, Navya Nair",Drama,,/wiki/Amirtham,2,Bhavatharini,
8,2006,Chithiram Pesuthadi,Mysskin,"Narain, Bhavana",Action,,/wiki/Chithiram_Pesuthadi,2,Sundar C Babu,7.1
9,2006,June R,Revathy S. Varma,"Jyothika, Kushboo, Saritha",Drama,,/wiki/June_R,3,Sharreth,5.0
10,2006,Kodambakkam,K. P. Jagan,"Nandha, Diya, Tejashree",Drama,,/wiki/Kodambakkam_(film),3,,
11,2006,Kalabha Kadhalan,Igore,"Arya, Renuka Menon, Akshaya",Romance,,/wiki/Kalabha_Kadhalan,3,Niru,5.0
12,2006,Kalvanin Kadhali,Thamilvaanan,"S. J. Surya, Nayantara",Romance,,/wiki/Kalvanin_Kadhali_(2006_film),2,Yuvan Shankar Raja,4.3
13,2006,Madarasi,Arjun,"Arjun, Vedhika",Action,,/wiki/Madrasi_(2006_film),2,D. Imman,4.6
14,2006,Nagareega Komali,Ramji S. Balan,"Bala Joseph, Neetha Sree",Drama,,/wiki/Nagareega_Komali,2,Ramji S. Balan,6.9
15,2006,Thambi,Seeman,"R. Madhavan, Pooja",Action,,/wiki/Thambi_(2006_film),2,"Vidyasagar,Vidyasagar,Mani Sharma",6.0
16,2006,Kovai Brothers,Sakthi Chidambaram,"Sathyaraj, Sibiraj, Namitha, Uma",Comedy,,/wiki/Kovai_Brothers,4,D. Imman,3.4
17,2006,Oru Kadhal Seiveer,Ravi Bhargavan,"Santhosh, Archana Galrani, Krishna",Romance,,/wiki/Oru_Kadhal_Seiveer,3,"Bharani,composer,Bharani",6.9
18,2006,Sudesi,A. Y. Jeppy,"Vijayakanth, Ashima Bhalla",Action,,/wiki/Sudesi,2,Srikanth Deva,3.6
