,year,title,director,cast,genre,producer,link,music,cast_size,imdb
31,1968,Panakkara Pillai,C. P. Jambulingam,"Ravichandran, Jayalalithaa, Nagesh",null,Annai Films,/wiki/Panakkara_Pillai,S. M. Subbaiah Naidu,3,
32,1968,Panama Pasama,K. S. Gopalakrishnan,"Gemini Ganesan, B. Saroja Devi, Nagesh",null,Ravi Productions,/wiki/Panama_Pasama,K. V. Mahadevan,3,6.2
33,1968,Poovum Pottum,Dada Mirasi,"S. V. Ranga Rao, P. Bhanumathi, A. V. M. Rajan, R. Muthuraman, Bharathi",null,Vasu Films,/wiki/Poovum_Pottum,R. Govardhanam,5,
34,1968,Pudhiya Bhoomi,Tapi Chanakya,"M. G. Ramachandran, Jayalalithaa, Sheela",null,J. R. Movies,/wiki/Pudhiya_Bhoomi,M. S. Viswanathan,3,6.2
35,1968,Puthisaligal,Arun,"Jaishankar, M. A. Radhika, Thengai Srinivasan, Manorama, A. Karunanidhi, T. P. Muthulakshmi, Sachu",null,N. A. L. Productions,/w/index.php?title=Puthisaligal&action=edit&redlink=1,V. Kumar,7,
36,1968,Ragasiya Police 115,B. R. Panthulu,"M. G. Ramachandran, Jayalalithaa, Vennira Aadai Nirmala",null,Padmini Pictures,/wiki/Ragasiya_Police_115,M. S. Viswanathan,3,7.3
37,1968,Sathiyam Thavaradhey,Pondy Selvaraj,"Ravichandran, Vijaya Nirmala, A. V. M. Rajan, C. R. Vijayakumari, Sheela",null,Ammal Films,/w/index.php?title=Sathiyam_Thavaradhey&action=edit&redlink=1,C. N. Pandurangan,5,
38,1968,Selviyin Selvan,Mohan Gandhiram,"Ravichandran, Chandrakantha, C. R. Vijayakumari",null,S. R. K. Productions,/w/index.php?title=Selviyin_Selvan&action=edit&redlink=1,Pukazhenthi,3,6.4
39,1968,Siritha Mugam,V. V. Raman,"Gemini Ganesan, Jaishankar, Rajasree, Vijaya Nirmala",null,Navasakthi Productions,/w/index.php?title=Siritha_Mugam&action=edit&redlink=1,Sankar Ganesh,4,
40,1968,Soaappu Seeppu Kannadi,Thirumalai-Mahalingam,"Nagesh, Vijaya Nirmala",null,Karthikeya Films,/wiki/Soaappu_Seeppu_Kannadi,T. K. Ramamoorthy,2,6.8
41,1968,Teacheramma,S. R. Puttanna,"Jaishankar, R. Muthuraman, C. R. Vijayakumari, Vanisri",null,Subalakshmi Pictures,/wiki/Teacheramma,T. R. Pappa,4,
42,1968,Thamarai Nenjam,K. Balachander,"Gemini Ganesan, B. Saroja Devi, Vanisri",null,Bama Films,/wiki/Thamarai_Nenjam,M. S. Viswanathan,3,7.1
43,1968,Thaer Thiruvizha,M. A. Thirumugam,"M. G. Ramachandran, Jayalalithaa, C. R. Vijayakumari, R. Muthuraman",null,Devar Films,/wiki/Thaer_Thiruvizha,K. V. Mahadevan,4,6.2
44,1968,Thillana Mohanambal,A. P. Nagarajan,"Sivaji Ganesan, Padmini, A. V. M. Rajan, Nagesh",null,Sri Vijayalakshmi Pictures,/wiki/Thillana_Mohanambal,K. V. Mahadevan,4,7.4
45,1968,Thirumal Perumai,A. P. Nagarajan,"Sivaji Ganesan, Padmini, K. R. Vijaya, Sowcar Janaki",null,Thiru Venkateswara Movies,/wiki/Thirumal_Perumai,K. V. Mahadevan,4,7.6
46,1968,Uyarndha Manithan,Krishnan–Panju,"Sivaji Ganesan, Sowcar Janaki, Vanisri, Sivakumar, Bharathi",null,AVM Productions,/wiki/Uyarndha_Manithan,M. S. Viswanathan,5,7.0
47,1968,Uyira Maanama,K. S. Gopalakrishnan,"Jaishankar, Vijaya Nirmala, R. Muthuraman, Krishna Kumari",null,Amar Jothi Movies,/wiki/Uyira_Maanama,M. S. Viswanathan,4,
