,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1961,Akbar,K. Asif,"Dilip Kumar, Madhubala, Prithviraj Kapoor, Durga Khote",null,Sterling Investment Corporation,/wiki/Mughal-e-Azam,Naushad,4,
2,1961,Arabu Naattu Azhagi,,,null,,/wiki/Zabak,Vijayabhasker,,7.1
3,1961,Arasilangkumari,A. S. A. Sami & A. Kasilingam,"M. G. Ramachandran, Padmini, Rajasulochana",null,Jupiter Pictures,/wiki/Arasilangkumari,G. Ramanathan,3,6.6
4,1961,Anbu Magan,T. Prakash Rao,"A. Nageswara Rao, Savitri",null,Jayalakshmi Pictures,/wiki/Anbu_Magan,T. Chalapathi Rao,2,
5,1961,Bhagyalakshmi,K. V. Srinivasan,"Gemini Ganesan, Sowcar Janaki, E. V. Saroja",null,Narayanan & Co,/wiki/Bhagyalakshmi_(1961_film),Viswanathan–Ramamoorthy,3,
6,1961,Ellam Unakkaga,A. Subbarao,"Sivaji Ganesan, Savitri, S. V. Ranga Rao",null,Saravanabhava Unity Pictures,/wiki/Ellam_Unakkaga,K. V. Mahadevan,3,4.2
7,1961,Ennai Paar,G. R. Nathan,"T.R. Mahalingam, B. S. Saroja, Pandaribai",null,Palaniyappa Productions,/wiki/Ennai_Paar,G. Ramanathan,3,
8,1961,Jagathala Prathapan,K. V. Reddy,"N. T. Rama Rao, B. Saroja Devi, L. Vijayalakshmi",null,Vijaya Vauhini Studios,/wiki/Jagadeka_Veeruni_Katha,Pendyala Nageswara Rao,3,
9,1961,Kaanal Neer,P. S. Ramakrishna Rao,"A. Nageswara Rao, P.Banumathi, Sowcar Janaki",null,Bharani Pictures,/wiki/Kaanal_Neer,P. Banumathi,3,
10,1961,Kappalottiya Thamizhan,B. R. Panthulu,"Sivaji Ganesan, Gemini Ganesan, Savitri, S. V. Ranga Rao, Tambaram Lalitha",null,Padmini Pictures,/wiki/Kappalottiya_Thamizhan,G. Ramanathan,5,7.4
11,1961,Kongunattu Thangam,M. A. Thirumugam,"C. L. Anandan, M. R. Radha, Pushpalatha, Tambaram Lalitha",null,Devar Films,/wiki/Kongunattu_Thangam,K. V. Mahadevan,4,
12,1961,Kumara Raja,G. K. Ramu,"J. P. Chandrababu, T. S. Balaiah, Suryakala, M. N. Rajam",null,Sivakami Pictures,/wiki/Kumara_Raja,T. R. Pappa,4,
13,1961,Kumudham,A. Subbarao,"S. S. Rajendran, M. R. Radha, Sowcar Janaki, C. R. Vijayakumari",null,Modern Theatres,/wiki/Kumudham,K. V. Mahadevan,4,
14,1961,Maharajan Petra Maindha,B. Vittalacharya,"Kanta Rao, Krishna Kumari, Rajanala, Mukkamala, Balakrishnan, Srikanth[disambiguation needed], Satya Narayana",null,Vittal Productions,/w/index.php?title=Varalakshmi_Vratham_(1961_film)&action=edit&redlink=1,Rajan Nagendra,7,
15,1961,Malliyam Mangalam,Malliyam Rajagopal,"S. V. Sahasranamam, Pandari Bai, S. V. Subbaiah, Mynavathi, Lakshmi Muthuraman",null,Tamilnadu Talkies,/wiki/Malliyam_Mangalam,T. A. Kalyanam,5,
16,1961,Mamiyarum Oru Veetu Marumagale,K. B. Tilak,"S. S. Rajendran, M. N. Rajam, Devika",null,Anubama Films,/wiki/Mamiyarum_Oru_Veetu_Marumagale,Pendyala Nageswara Rao,3,6.9
17,1961,Manapanthal,V. N. Reddy,"S. S. Rajendran, S. A. Ashokan, B. Sarojadevi, E. V. Saroja",null,R. R. Pictures,/wiki/Manapanthal,Viswanathan–Ramamoorthy,4,
18,1961,Marutha Nattu Veeran,T. R. Raghunath,"Sivaji Ganesan, Jamuna, P. S. Veerappa",null,Saravanabhava Unity Pictures,/wiki/Marutha_Nattu_Veeran,S. V. Venkatraman,3,
19,1961,Naaga Nandhini,T. R. Raghunath,"Anjali Devi, K. Balaji, Devika, Sandhy, Nambiar",null,B. V. N. Pictures,/wiki/Naaga_Nandhini,R. Sudharsanam,5,
20,1961,Nagarathil Zimbo,Nanubhai Bhatt,"Azad, Nilofer[disambiguation needed]",null,,/wiki/Zimbo_Comes_To_Town,Vijaya Bhaskar,2,7.2
21,1961,Nallavan Vazhvan,P. Neelakantan,"M. G. Ramachandran, M. R. Radha, Rajasulochana",null,Arasu Pictures,/wiki/Nallavan_Vazhvan,T. R. Pappa,3,
22,1961,Palum Pazhamum,A. Bhimsingh,"Sivaji Ganesan, M. R. Radha, B. Sarojadevi, Sowcar Janaki",null,Saravana Films,/wiki/Palum_Pazhamum,Viswanathan–Ramamoorthy,4,7.4
23,1961,Panam Panthiyile,K. Somu,"S. S. Rajendran, M. R. Radha, C. R. Vijayakumari, Rajasree",null,M. A. V. Pictures,/wiki/Panam_Panthiyile,K. V. Mahadevan,4,7.1
24,1961,Pangaaligal,G. Ramakrishna,"Gemini Ganesan, M. R. Radha, Anjali Devi, Devika",null,Irish Movies,/wiki/Pangaaligal,S. Dakshinamurthi,4,
25,1961,Panithirai,Muktha V. Srinivasan,"Gemini Ganesan, B. Saroja Devi, K. A. Thangavelu",null,Muktha Films,/wiki/Panithirai,K. V. Mahadevan,3,
26,1961,Pasamalar,A. Bhimsingh,"Sivaji Ganesan, Gemini Ganesan, Savitri, M. N. Rajam",null,Rajamani Pictures,/wiki/Pasamalar,Viswanathan–Ramamoorthy,4,7.2
27,1961,Paava Mannippu,A. Bhimsingh,"Sivaji Ganesan, Gemini Ganesan, M. R. Radha, Savitri, M. V. Rajamma, Devika",null,Buddha Pictures,/wiki/Paava_Mannippu,Viswanathan–Ramamoorthy,6,7.1
28,1961,Punar Janmam,R. S. Mani,"Sivaji Ganesan, Padmini, Ragini, K. A. Thangavelu",null,Vijaya Films,/wiki/Punar_Janmam,T. Chalapathi Rao,4,
