,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1981,47 Natkal,K. Balachander,"Chiranjeevi, Jaya Prada, Sarath Babu, Rama Prabha",null,Premalaya Productions,/wiki/47_Natkal,M. S. Viswanathan,4,6.8
2,1981,Aani Ver,K. Vijayan,"Sivakumar, Saritha, Sathyaraj",null,Vivekanandha Pictures,/wiki/Aani_Ver,Sankar Ganesh|,3,
3,1981,Sanditthanam,J.soban,"Soban, Rukku",null,Dimple Creations,/w/index.php?title=Sanditthanam&action=edit&redlink=1,Ilaiyaraaja,2,
4,1981,Adugal Nanaigindrana,P. Madhavan,"Prasad, Roopa",null,Shanti Chithra Productions,/w/index.php?title=Adugal_Nanaigindrana&action=edit&redlink=1,Chandrabose,2,
5,1981,Alaigal Oivathillai,P. Bharathiraja,"Karthik, Radha, Thiagarajan, Silk Smitha",null,Pavalar Creation,/wiki/Alaigal_Oivathillai,Ilaiyaraaja,4,6.6
6,1981,Amara Kaaviyam,Amirtham,"Sivaji Ganesan, Sripriya, Madhavi, Jai Ganesh, Nagesh",null,Viswanathan Combines,/wiki/Amara_Kaaviyam_(1981_film),M. S. Viswanathan,5,
7,1981,Anbulla Atthan,Kanmani Subbhu,"Shoba, Kalaivanan",null,Metha Movies,/w/index.php?title=Anbulla_Atthan&action=edit&redlink=1,M. S. Viswanathan,2,
8,1981,Andhi Mayakkam,Bhanudasan,"Vanitha, Manoj, Ganthimathi, Vinod, Suveetha",null,Yuvaraja Pictures,/wiki/Andhi_Mayakkam,Shyam,5,
9,1981,Andru Muthal Indru Varai,R. Sundaram,"Sivakumar, Roopa, G. Srinivasan, Jayamala, Kalaranjini",null,Modern Theatres,/w/index.php?title=Andru_Muthal_Indru_Varai&action=edit&redlink=1,Sankar Ganesh,5,
10,1981,Anicha Malar,Sri Vijayakumar,"Raja Bahadoor, Lakshmi Kala, Suruli Rajan, Manorama, Ganthimathi",null,Sri Kaleeswari Movies,/w/index.php?title=Anicha_Malar&action=edit&redlink=1,Sankar Ganesh,5,
11,1981,Antha Ezhu Naatkal,K. Bhagyaraj,"K. Bhagyaraj, Ambika, Rajesh",null,Srini Creations,/wiki/Antha_Ezhu_Naatkal,M. S. Viswanathan,3,7.3
12,1981,Anjatha Nenjangal,R. Thyagarajan,"K. R. Vijaya, Suman, Saritha, Vanitha",null,Devar Films,/wiki/Anjatha_Nenjangal,Sankar Ganesh,4,
13,1981,Aradhanai,Prasad,"Suman, Sumalatha, Nizhalgal Ravi",null,Dimple Creations,/w/index.php?title=Aradhanai&action=edit&redlink=1,Ilaiyaraaja,3,
14,1981,Arthangal Ayiram,Raj Kannan,"Parthiban, Bhuvaneswari",null,Sri Amman Creations,/w/index.php?title=Arthangal_Ayiram&action=edit&redlink=1,Sankar Ganesh,2,
15,1981,Arumbugal,Jupiter Chinnadurai,"Sarath Babu, Sridevi",null,Kamatchi Art Films,/w/index.php?title=Arumbugal&action=edit&redlink=1,M. S. Viswanathan,2,3.8
16,1981,Avalum Thaayaanal,Mohammed Ali,"M. G. Venugopal, Jayavani",null,Nachiar Films,/w/index.php?title=Avalum_Thaayaanal&action=edit&redlink=1,Gunasingh,2,
17,1981,Avasarakari,K. S. Mathangan,"Mohan Kumar, Roopa",null,Anand Creations,/w/index.php?title=Avasarakari&action=edit&redlink=1,Sankar Ganesh,2,
18,1981,Bala Nagamma,K. Shankar,"K. R. Vijaya, Sarath Babu, Sridevi",null,Charuchithra Films,/wiki/Bala_Nagamma_(1981_film),Ilaiyaraaja,3,5.0
19,1981,Chinna Mul Peria Mul,N. S. Raj Bharath,"Raja, Sreenath, Shanthi Krishna, Sumanjali, 'Baby' Anju",null,Indra Creations,/wiki/Chinna_Mul_Peria_Mul,Sankar Ganesh,5,
20,1981,Deiva Thirumanangal,P. NeelakantanK. ShankarK. Kameswara Rao,"Seerkazhi Govindarajan, S. Varalakshmi, Chandra Mohan, Latha, Srividya, Moorthy",null,Solar Combines,/w/index.php?title=Deiva_Thirumanangal&action=edit&redlink=1,K. V. MahadevanM. S. ViswanathanG. K. Venkatesh,6,5.8
21,1981,Devi Dharisanam,K. Shankar,"K. R. Vijaya, Latha, Sarath Babu,",null,Malar Combines,/wiki/Devi_Dharisanam,M. S. Viswanathan,4,
22,1981,Ellam Inba Mayyam,G. N. Rangarajan,"Kamal Haasan, Jaishankar, Madhavi, Suman, Surekha, Y. G. Mahendra, K. S. Jayalakshmi, Thengai Srinivasan, Manorama",null,P. A. Art Productions,/wiki/Ellam_Inba_Mayyam,Ilaiyaraaja,9,7.0
23,1981,Enakkaga Kaathiru,P. S. Nivas,"Suman, Bhanu Chander, Sumalatha, Nisha",null,Niveda Combines,/wiki/Enakkaga_Kaathiru,Ilaiyaraaja,4,
24,1981,Enga Ooru Kannagi,K. Balachander,"Saritha, Seema, Madhavi, Srikanth, Major Sundarrajan",null,Ranjith Arts,/wiki/Enga_Ooru_Kannagi,M. S. Viswanathan,5,
25,1981,Engamma Magarani,M. A. Kaja,"Delhi Ganesh, Sumithra, Roopa, Suruli Rajan",null,Sri Gayathri Enterprises,/w/index.php?title=Engamma_Magarani&action=edit&redlink=1,Sankar Ganesh,4,
26,1981,Garjanai,C. V. Rajendran,"Rajinikanth, Madhavi, Jaishankar, Geetha",null,Hem Nag Films,/wiki/Garjanai,Ilaiyaraaja,4,5.2
