,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1999,The Terrorist,Santosh Sivan,"Ayesha Dharker, Krishna",null,Indian Image Productions,/wiki/The_Terrorist_(1997_film),2,"Rajamani,Sonu Sisupal",7.0
2,1999,Suriya Paarvai,Jagan,"Arjun, Pooja",null,Modooril Creations,/wiki/Suriya_Paarvai,2,S. A. Rajkumar,5.5
3,1999,Housefull,Parthiban,"Parthiban, Vikram, Suvalakshmi",null,Bioscope Film Framers,/wiki/Housefull_(1999_film),3,Ilaiyaraaja,6.9
4,1999,Mannavaru Chinnavaru,P. N. Ramachandra Rao,"Sivaji Ganesan, Arjun, Soundarya, Maheswari",null,Kalaipuli International,/wiki/Mannavaru_Chinnavaru,4,Geethapriyan,
5,1999,Maya,Rama Narayanan,"Napoleon, Nagma",null,Sri Thenandal Films,/wiki/Maya_(1999_film),2,R. R. G,7.3
6,1999,Ponnu Veetukkaran,P. Vasu,"Sathyaraj, Preetha",null,Ganga Gowri Productions,/wiki/Ponnu_Veetukkaran,2,Ilaiyaraaja,5.9
7,1999,Thodarum,Ramesh Khanna,"Ajith Kumar, Devayani, Heera Rajagopal",null,Sree Devi Movie Makers,/wiki/Thodarum,3,,5.3
8,1999,Thulladha Manamum Thullum,Ezhil,"Vijay, Simran",null,Super Good Films,/wiki/Thulladha_Manamum_Thullum,2,S. A. Rajkumar,7.7
9,1999,Kallazhagar,Bharathi,"Vijayakanth, Laila",null,Pangaj Productions,/wiki/Kallazhagar,2,"Deva,Deva",4.4
10,1999,Ninaivirukkum Varai,K. Subash,"Prabhu Deva, Keerthi Reddy, Ranjith",null,Thaaraas Creations,/wiki/Ninaivirukkum_Varai,3,"Deva,Deva",
11,1999,Unnai Thedi,Sundar C.,"Ajith Kumar, Malavika",null,Lakshmi Movie Makers,/wiki/Unnai_Thedi,2,"Deva,Deva",6.0
12,1999,Chinna Raja,Chithra Lakshmanan,"Karthik, Roja, Priya Raman",null,Gayathri Films,/wiki/Chinna_Raja,3,"Deva,Deva",
13,1999,Adutha Kattam,Sarath,"Raja Ravindra, Yuvarani",null,Ajmal Movie Makers,/wiki/Adutha_Kattam,2,S. P. Venkatesh,
14,1999,En Swasa Kaatre,K. S. Ravi,"Arvind Swamy, Isha Koppikar",null,Nigaaba Films International,/wiki/En_Swasa_Kaatre,2,A. R. Rahman,5.6
15,1999,Ethirum Pudhirum,V. C. Ramani,"Mammooty, Napoleon, Sangita",null,Madhu Films International,/wiki/Ethirum_Pudhirum,3,"Vidyasagar,Vidyasagar",5.5
16,1999,Endrendrum Kadhal,Manoj Bhatnagar,"Vijay, Rambha",null,Sameera Films,/wiki/Endrendrum_Kadhal,2,Manoj Bhatnagar,6.9
17,1999,Ullathai Killathe,Vejey Kannan,"Suresh, Kushboo, Karan, Supraja",null,Vijaya Cine Enterprises,/wiki/Ullathai_Killathe,4,"Deva,Deva",
18,1999,Chinna Durai,R. Chandra,"Sarath Kumar, Roja",null,KB Films,/wiki/Chinna_Durai_(1999_film),2,Ilaiyaraaja,
19,1999,Poo Vaasam,Sree Bharathi,"Murali, Pushpalatha",null,RVR Pictures,/wiki/Poo_Vaasam,2,Ganesh,
20,1999,Annan,Anu Mohan,"Ramarajan, Swathi",null,Simon Pictures,/wiki/Annan_(film),2,Ilaiyaraaja,
21,1999,Padayappa,K. S. Ravikumar,"Rajinikanth, Soundarya, Ramya Krishnan",null,Arunachala Cine Creations,/wiki/Padayappa,3,A. R. Rahman,8.1
22,1999,Monisha En Monalisa,T. Rajendar,"Ramankanth, Mumtaj, T. Rajendar",null,Chimbu Cine Arts,/wiki/Monisha_En_Monalisa,3,T. Rajendar,4.5
23,1999,Periyanna,S. A. Chandrasekhar,"Vijayakanth, Meena, Suriya, Manasa",null,Jaya Subha Sree Productions,/wiki/Periyanna,4,"Bharani,Bharani",4.3
24,1999,Aasai Alaigal,S. Manikandan,"Bhuvanesh, Ramya",null,Sakthi Productions,,2,,
25,1999,Nilave Mugam Kaattu,Kalanjiyam,"Karthik, Devayani, Ramki",null,Mahalakshmi International,/wiki/Nilave_Mugam_Kaattu,3,Ilaiyaraaja,5.1
26,1999,Poomagal Oorvalam,Rasu Madhuravan,"Prashanth, Rambha",null,Super Good Films,/wiki/Poomagal_Oorvalam,2,Siva,7.1
27,1999,Poomaname Vaa,V. Azhagappan,"Ramarajan, Sangita",null,Nalini Cini Arts,/wiki/Poomaname_Vaa,2,Sirpy,6.4
28,1999,Vaali,S. J. Surya,"Ajith Kumar, Jyothika, Simran",null,NIC Arts,/wiki/Vaali_(film),3,"Deva,Deva",7.9
29,1999,Rajasthan,R. K. Selvamani,"Sarath Kumar, Vijayashanti",null,Paanjajanyam,/wiki/Rajasthan_(film),2,Ilaiyaraaja,3.1
30,1999,Annan Thangachi,Charan Raj,"Charan Raj, Ajay Krishna, Shruti",null,Om Sree Vinayaga Films,/wiki/Annan_Thangachi,3,"Deva,Deva",
31,1999,Kummi Paattu,Kasthuri Raja,"Prabhu, Devayani",null,Kasthuri Manga Creations,/wiki/Kummi_Paattu,2,Ilaiyaraaja,4.6
32,1999,Anantha Poongatre,Raj Kapoor,"Ajith Kumar, Karthik, Meena, Malavika",null,Roja Combines,/wiki/Anantha_Poongatre,4,,6.5
33,1999,Guest House,Raj Mohan,"Babu Ganesh, Sangeetha",null,Kalaiaruvi  Combines,/wiki/Guest_House_(1999_film),2,S. P. Bhoopathy,6.2
34,1999,Nenjinile,S. A. Chandrasekhar,"Vijay, Isha Koppikar",null,V. V. Creations,/wiki/Nenjinile,2,"Deva,Deva",5.8
35,1999,Oruvan,Suresh Krishna,"Sarath Kumar, Pooja Batra, Devayani",null,Lakshmi Movie Makers,/wiki/Oruvan_(1999_film),3,"Deva,Deva",
36,1999,Kadhalar Dhinam,Kathir,"Kunal, Sonali Bendre",null,Sri Surya Movies,/wiki/Kadhalar_Dhinam,2,A. R. Rahman,6.3
37,1999,Anthapuram,Krishna Vamsi,"Parthiban, Soundarya, Prakash Raj",null,Duet Cinema,/wiki/Anthapuram_(1999_film),3,Ilaiyaraaja,7.3
38,1999,Sangamam,Suresh Krishna,"Rahman, Vindhya",null,Pyramid Films International,/wiki/Sangamam,2,A. R. Rahman,6.4
39,1999,Suyamvaram,Ten Directors,"Prabhu, Karthik, Sathyaraj, Arjun",null,LS Movies,/wiki/Suyamvaram,4,"Suyamvaram,Crew,4 composers",5.4
40,1999,Viralukketha Veekkam,V. Sekhar,"Livingston, Kushboo, Vivek, Vadivelu",null,Thiruvalluvar Kalaikoodam,/wiki/Viralukketha_Veekkam,4,,7.1
41,1999,Rojavanam,Selva,"Karthik, Laila, Malavika",null,Kavithalayaa,/wiki/Rojavanam,3,Bharathwaj,4.6
42,1999,Kanave Kalaiyadhe,V. Gowthaman,"Murali, Simran",null,Sivasakthi Movie Makers,/wiki/Kanave_Kalaiyadhe,2,"Deva,Deva",5.8
43,1999,Malabar Police,P. Vasu,"Sathyaraj, Kushboo, Abbas, Mumtaj",null,Kamalam Movies,/wiki/Malabar_Police,4,,5.7
44,1999,Ponvizha,Ashokan,"Napoleon, Suvalakshmi",null,Siva Sree Pictures,/wiki/Ponvizha,2,"Deva,Deva",
45,1999,Poovellam Kettuppar,Vasanth,"Suriya, Jyothika",null,P. A. Art Productions,/wiki/Poovellam_Kettuppar,2,Yuvan Shankar Raja,6.5
46,1999,Kannodu Kanbathellam,Prabhu Solomon,"Arjun, Sonali Bendre, Suchindra, Ruchitha",null,Anbalaya Films,/wiki/Kannodu_Kanbathellam,4,"Deva,Deva",
47,1999,Nee Varuvai Ena,Rajakumran,"Parthiban, Devayani, Ajith Kumar",null,Super Good Films,/wiki/Nee_Varuvai_Ena,3,S. A. Rajkumar,6.5
48,1999,Amarkalam,Saran,"Ajith Kumar, Shalini, Raghuvaran",null,Venkateswaralayam,/wiki/Amarkalam,3,"Ramani Bharadwaj,Bharadwaj",7.3
49,1999,Jodi,Praveen Gandhi,"Prashanth, Simran",null,Sony Orient,/wiki/Jodi_(1999_film),2,"A. R. Rahman,Re,used own tunes from,Doli Saja Ke Rakhna,Sabesh,Murali",6.1
50,1999,Minsara Kanna,K. S. Ravikumar,"Vijay, Monica Castelino, Rambha, Kushboo",null,KRG Movies International,/wiki/Minsara_Kanna,4,"Deva,Deva",6.2
51,1999,Anbulla Kadhalukku,Mohan,"Mohan, Megha, Bhavana, Sangeetha",null,Parthee International,/wiki/Anbulla_Kadhalukku,4,,
52,1999,Kaama,Ashok Kumar,"Vishal, Sunila, Urvashi, Deepti Bhatnagar",null,Teja Creations,/wiki/Kaama,4,Adithyan,
53,1999,Pooparika Varugirom,A. Venkatesh,"Sivaji Ganesan, Ajay, Malavika",null,Ishwar Film Maker,/wiki/Pooparika_Varugirom,3,"Vidyasagar,Vidyasagar",5.8
54,1999,Unakkaga Ellam Unakkaga,Sundar C.,"Karthik, Rambha",null,Lakshmi Movie Makers,/wiki/Unakkaga_Ellam_Unakkaga,2,Yuvan Shankar Raja,6.2
55,1999,Manaivikku Mariyadhai,V. C. Guhanathan,"Pandiarajan, Kushboo",null,Sri Thenandal Films,/wiki/Manaivikku_Mariyadhai,2,Sirpy,7.6
56,1999,Mugam,Gnana Rajasekaran,"Nassar, Roja",null,Subramaniya Films,/wiki/Mugam_(1999_film),2,Ilaiyaraaja,5.6
57,1999,Nesam Pudhusu,Karthik Vel,"Ranjith, Priya Raman",null,Sivasankaraalaya,/wiki/Nesam_Pudhusu,2,Bobby,
58,1999,Pombalainga Samacharam,Vinay Raj,"Ravi, Kokila",null,Navaneetham Combines,,2,,6.2
59,1999,Maravathe Kanmaniye,N. S. Madhavan,"Vineeth, Karan, Reshma, Ravali",null,Maha Creations,/wiki/Maravathe_Kanmaniye,4,Mahakumar,
60,1999,Suryodayam,L. V. Aadhavan,"Vijayashanti, Rahman",null,Rani Creative Visions,/wiki/Suryodayam,2,Gnani,5.4
61,1999,Jayam,Ravi Raja,"Mansoor Ali Khan, Sangita, Ishaq Hussaini",null,Mahalakshmi Cini Circuit,/wiki/Jayam_(1999_film),3,Pradeep Ravi,5.9
62,1999,Hello,K. Selva Bharathy,"Prashanth, Preeti Jhangiani, Sujitha",null,Cherin Movie Makers,/wiki/Hello_(1999_film),3,"Deva,Deva",
63,1999,Kanmani Unakkaga,Ravi Raja,"Ishaq Hussaini, Suvalakshmi",null,I International,/wiki/Kanmani_Unakkaga,2,Pradeep Ravi,
64,1999,Kannupada Poguthaiya,Bharathi Ganesh,"Vijayakanth, Simran, Karan",null,Super Good Films,/wiki/Kannupada_Poguthaiya,3,S. A. Rajkumar,4.1
65,1999,Maanaseega Kadhal,B. S. Raman,"Hamsavardhan, Sushva",null,Sai Baba Creations,/wiki/Maanaseega_Kadhal,2,"Deva,Deva",6.9
66,1999,Mudhalvan,Shankar,"Arjun, Manisha Koirala, Raghuvaran",null,S Films,/wiki/Mudhalvan,3,,8.3
67,1999,Ooty,Anwar,"Murali, Roja",null,Nigaaba Films International,/wiki/Ooty_(film),2,"Deva,Deva",
68,1999,Pudhu Kudithanam,Raghuvasan,"Vignesh, Mantra",null,Azhvaarammaal Movie Makers,/wiki/Pudhu_Kudithanam,2,"Deva,composer,Deva",
69,1999,Taj Mahal,Bharathiraja,"Manoj Bharathiraja, Riya Sen, Revathi, Raadhika",null,Janani Art Creations,/wiki/Taj_Mahal_(1999_film),4,"A. R. Rahman,A.R.Rahman",4.5
70,1999,Iraniyan,Vincent Selva,"Murali, Meena, Raghuvaran",null,Thaaraas Creations,/wiki/Iraniyan_(film),3,"Deva,Deva",
71,1999,Sundari Neeyum Sundaran Naanum,A. N. Rajagopal,"Pandiarajan, Easwari Rao, Ranjith",null,Guru Meena Films,/wiki/Sundari_Neeyum_Sundaran_Naanum,3,"Deva,composer,Deva",
72,1999,Kudumba Sangili,P. N. Ramachandra Rao,"Kalaipuli G. Sekaran, Kushboo",null,Sree Durga Cini Arts,/wiki/Kudumba_Sangili,2,Sirpy,3.1
73,1999,Sivan,Velu Prabhakaran,"Napoleon, Arunpandian, Raadhika",null,VJ Films,/wiki/Sivan_(film),3,Adithyan,7.0
74,1999,Thirupathi Ezhumalai Venkatesa,Rama Narayanan,"Prabhu, Roja, S. Ve. Sekhar, Vadivelu",null,Sri Thenandal Films,/wiki/Thirupathi_Ezhumalai_Venkatesa,4,,
75,1999,Time,Geetha Krishna,"Prabhu Deva, Simran, Radhika Chaudhari",null,Lifeline Films,/wiki/Time_(1999_film),3,Ilaiyaraaja,4.5
76,1999,Unnaruge Naan Irundhal,Selva,"Parthiban, Meena, Rambha",null,Lakshmi Movie Makers,/wiki/Unnaruge_Naan_Irundhal,3,"Deva,Deva",6.3
77,1999,Azhagarsamy,Sundar C.,"Sathyaraj, Roja",null,Malar Combines,/wiki/Azhagarsamy,2,"Deva,Deva",
78,1999,Mudhal Etcharikkai,Devar,"Ponnambalam, Vichithra",null,AA Cini Circuit,/wiki/Mudhal_Etcharikkai,2,Manivannan,6.0
79,1999,Sethu,Bala,"Vikram, Abitha, Sivakumar",null,Sharma Productions,/wiki/Sethu_(film),3,Ilaiyaraaja,8.1
80,1999,Aasaiyil Oru Kaditham,Selva,"Prashanth, Kausalya, Anand",null,Udhaya Arts,/wiki/Aasaiyil_Oru_Kaditham,3,"Deva,Deva",5.0
81,1999,Manam Virumbuthe Unnai,M. Sivachandran,"Prabhu, Meena, Rajiv Krishna, Karan",null,SSK Films,/wiki/Manam_Virumbuthe_Unnai,4,Ilaiyaraaja,7.1
82,1999,Paattali,K. S. Ravikumar,"Sarath Kumar, Devayani, Ramya Krishnan",null,Roja Combines,/wiki/Paattali,3,S. A. Rajkumar,6.0
83,1999,Vaaliba Mayakkam,Kumar,"Sudhir, Mini",null,Harishkumar Films,,2,,
