,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1990,Enakkoru Neethi,K. S. Gopalakrishnan,"Siraj, Chithra, Pallavi",null,Anil Creations,/w/index.php?title=Enakkoru_Neethi&action=edit&redlink=1,3,,4.8
2,1990,Idhaya Thamarai,K. Rajeshwar,"Karthik, Revathi",null,Amartheeb Productions,/wiki/Idhaya_Thamarai,2,,5.0
3,1990,Kavalukku Kettikaran,Santhana Bharathi,"Prabhu, Nirosha",null,Thirai Koodam,/wiki/Kavalukku_Kettikaran,2,Ilaiyaraaja,4.8
4,1990,Nalla Kaalam Porandaachu,T. P. Gajendran,"Prabhu, Ramya Krishnan",null,Mather Cine Productions,/wiki/Nalla_Kaalam_Porandaachu,2,Shankar Ganesh,
5,1990,Pachai Kodi,Manoj Kumar,"Pandiarajan, Nirosha",null,Guru Sri Shanthi Productions,/wiki/Pachai_Kodi,2,Gangai Amaran,
6,1990,Panakkaran,P. Vasu,"Rajinikanth, Gautami",null,Sathya Movies,/wiki/Panakkaran,2,Ilaiyaraaja,6.8
7,1990,Pulan Visaranai,R. K. Selvamani,"Vijayakanth, Rupini",null,I. V. Cine Productions,/wiki/Pulan_Visaranai,2,Ilaiyaraaja,6.9
8,1990,Aadi Velli,Rama Narayanan,"Nizhalgal Ravi, Seetha",null,Sri Thenaandal Films,/wiki/Aadi_Velli,2,Shankar Ganesh,
9,1990,Manasukketha Maapillai,G. Ravi Raja,"Pandiarajan, Rohini",null,Amudhasurabi Pictures,/w/index.php?title=Manasukketha_Maapillai&action=edit&redlink=1,2,,
10,1990,Pattikattan,T. S. Krishna Kumar,"Rahman, Rupini",null,Shenbagam Movie Creations,/w/index.php?title=Pattikattan&action=edit&redlink=1,2,,
11,1990,Vaazhkai Chakkaram,Manivannan,"Sathyaraj, Gautami",null,Vivekananda Pictures,/wiki/Vaazhkai_Chakkaram,2,Sankar Ganesh,
12,1990,En Uyir Thozhan,Bharathiraja,"Babu, Rama, Thennavan",null,P. R. Art Films,/wiki/En_Uyir_Thozhan,3,Ilaiyaraaja,6.9
13,1990,Mr. Karthik,Kalaivanan Kannadasan,"Karthik, Sivaranjani",null,Varalakshmi Creations,/w/index.php?title=Mr._Karthik&action=edit&redlink=1,2,,
14,1990,Paattali Magan,Senthilnathan,"Arjun, Sindhu",null,Anbu Lakshmi Films,/wiki/Paattali_Magan,2,,
15,1990,Salem Vishnu,Thyagarajan,"Thyagarajan, Rupini",null,Lakshmi Shanthi Movies,/wiki/Salem_Vishnu,2,"S. P. Venkatesh,Sangeetha Rajan",
16,1990,Arangetra Velai,Fazil,"Prabhu, Revathi, V. K. Ramasamy",null,Sunitha Productions,/wiki/Arangetra_Velai,3,Ilaiyaraaja,7.1
17,1990,Paattukku Naan Adimai,Shanmuga Rajan,"Ramarajan, Kushboo, Rekha",null,Shri Mishri Productions,/wiki/Paattukku_Naan_Adimai,3,Ilaiyaraaja,3.6
18,1990,Rajavin Paarvai,A. V. Babu,"Ramakrishna Raja, Samundeeswari",null,,/w/index.php?title=Rajavin_Paarvai&action=edit&redlink=1,2,,
19,1990,Valiba Vizhayattu,Sornam,"Mohan, Sadhana",null,S. S. K. Films,/w/index.php?title=Valiba_Vizhayattu&action=edit&redlink=1,2,,
20,1990,Paalam,Karvannan,"Murali, M. N. Nambiar, Kitty",null,S. S. Screens,/wiki/Paalam_(1990_film),3,N. S. T. Rajesh,
21,1990,Parigaram,Bhama Manalan,"Krishna, Kovai Sarala",null,Sree Kamesh Art Movies,/w/index.php?title=Parigaram&action=edit&redlink=1,2,,
22,1990,Pengal Veettin Kanngal,T. P. Gajendran,"Anand Babu, Urvashi",null,K. R. G. Movie International,/w/index.php?title=Pengal_Veettin_Kanngal&action=edit&redlink=1,2,,
23,1990,Kavithai Paadum Alaigal,T. K. Bose,"Raj Mohan, Janani",null,K. B. Arts,/w/index.php?title=Kavithai_Paadum_Alaigal&action=edit&redlink=1,2,,
24,1990,Vetri Malai,V. S. Shanmugam,"Murali, Seetha, Pallavi",null,Maruthi Movieland,/w/index.php?title=Vetri_Malai&action=edit&redlink=1,3,,
25,1990,Jagathalaprathapan,Sankar,"Mohan, Rakhi Sri, Divya",null,Rani Cine Arts,/wiki/Jagathalaprathapan_(1990_film),3,Sankar Ganesh,
26,1990,Manaivi Oru Manickam,Chozharajan,"Arjun, Radha, Mukesh, Sadhana",null,Sri Thenaandal Films,/wiki/Manaivi_Oru_Manickam,4,Shankar Ganesh,
27,1990,Unnai Solli Kutramillai,Ameerjan,"Karthik, Sithara",null,Kavithalayaa Productions,/wiki/Unnai_Solli_Kutramillai,2,Ilaiyaraaja,4.8
28,1990,En Veedu En Kanavar,Senbaga Raman,"Suresh, Nadhiya",null,Preethi Indhar Combines,/wiki/En_Veedu_En_Kanavar,2,B. Surendar,4.8
29,1990,Kalyana Rasi,K. Sivaprasad,"Karthik, Ranjani, Apoorva",null,Sankaraalaya Pictures,/wiki/Kalyana_Rasi,3,"Manoj Gyan,Gyan Varma",
30,1990,Muthalali Amma,V. C. Guhanathan,"Bhanu Chander, Kanaka, Prameela",null,Thirumurugan Combines,/w/index.php?title=Muthalali_Amma&action=edit&redlink=1,3,,
