,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1964,Aandavan Kattalai,K. Shankar,"Sivaji Ganesan, Devika, J. P. Chandrababu",null,P. S. V Pictures,/wiki/Aandavan_Kattalai,Viswanathan Ramamoorthy,3,7.1
2,1964,Alli,S. S. Rajendran,"S. S. Rajendran, C. R. Vijayakumari, M. R. Radha",null,Rajendran Pictures,/wiki/Alli_(film),K. V. Mahadevan,3,
3,1964,Amma Engey,G. Vishwanathan,"R. Muthuraman,Chandrakantha, Rajasree, R. S. Manohar, A. Veerappan",null,Modern Theaters,/wiki/Amma_Enge,Vedha,5,
4,1964,Arunagirinathar,T. R. Ramanna,"T. M. Soundararajan, M. R. Radha, B. S. Saroja, C. Lakshmi Rajyam, Sharada,Pushpalatha",null,Baba Art Productions,/wiki/Arunagirinathar_(film),"G. Ramanathan,T. R. Pappa",6,
5,1964,Aayiram Roobai,K. S. Gopalakrishnan,"Gemini Ganesan, Savitri, Nagesh",null,Chitra Productions,/wiki/Aayiram_Roobai,K. V. Mahadevan,3,
6,1964,Bommai,Veenai S. Balachander,"Veenai S. Balachander, Vasanthi, V. Gopalakrishnan",null,S. B. Creations,/wiki/Bommai,Veenai S. Balachander,3,6.6
7,1964,Chitrangi,R. S. Mani,"Pushpalatha, R. S. Manohar, A. V. M. Rajan",null,Modern Theaters,/wiki/Chitrangi,Vedha,3,9.2
8,1964,Dheiva Thaai,P. Madhavan,"M. G. Ramachandran, B. Sarojadevi, Nagesh",null,Satya Movies,/wiki/Dheiva_Thaai,Viswanathan Ramamoorthy,3,7.5
9,1964,Deiva Thirumagal,Sandow M. M. A. Chinnappa Thevar,"S. A. Ashokan, R. Muthuraman,Chandrakantha, Nalini, Nagesh, Manorama",null,Dhandayuthapani Films,/w/index.php?title=Deiva_Thirumagal_(1964_film)&action=edit&redlink=1,P. S. Diwakar,6,
10,1964,En Kadamai,M. Natesan,"M. G. Ramachandran, B. Sarojadevi, M. R. Radha, K. Balaji",null,Natesa Pictures,/wiki/En_Kadamai,Viswanathan Ramamoorthy,4,6.1
11,1964,Kai Koduttha Dheivam,K. S. Gopalakrishnan,"Sivaji Ganesan, Savitri, S. V. Ranga Rao",null,Shri Ponni Pictures,/wiki/Kai_Koduttha_Dheivam,Viswanathan Ramamoorthy,3,7.2
12,1964,Kalai Kovil,C. V. Sridhar,"Muthuraman, Chandrakantha,Rajashri",null,Bagyalakshmi Production,/wiki/Kalai_Kovil,Viswanathan Ramamoorthy,3,
13,1964,Karnan,B. R. Panthulu,"N. T. Rama Rao, Sivaji Ganesan, Savitri",null,Padmini Pictures,/wiki/Karnan_(film),Viswanathan Ramamoorthy,3,8.0
14,1964,Karuppu Panam,G. R. Nathan,"Kannadasan, K. Sarangkapani, T. S. Balaiah, K. Balaji, K. R. Vijaya",null,Vijayalakshmi Pictures,/wiki/Karuppu_Panam,Viswanathan Ramamoorthy,5,
15,1964,Kadhalikka Neramillai,C. V. Sridhar,"Ravichandran, R. Muthuraman, Rajasree, Kanchana, Nagesh",null,Chitralaya Films,/wiki/Kadhalikka_Neramillai,Viswanathan Ramamoorthy,5,8.1
16,1964,MaayamaniDubbed from Hindi,Babubhai Mistri,MahipalGeetanjali,null,Kantibhai Parikh,/wiki/Parasmani,Laxmikant Pyarelal,1,7.2
17,1964,Magaley Un Samathu,D. S. Rajagopal,"C. L. Anandan, M. R. Radha,'Gemini' chandra, Manorama, Rajasree",null,Thirumagal Films,/w/index.php?title=Magaley_Un_Samathu&action=edit&redlink=1,G. K. Venkatesh,5,
18,1964,Muradan Muthu,B. R. Panthulu,"Sivaji Ganesan, Devika, B. R. Panthulu",null,Padmini Pictures,/wiki/Muradan_Muthu,T. G. Lingappa,3,
