,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,2001,Dheena,A. R. Murugadoss,"Ajith Kumar, Suresh Gopi, Laila",null,Vijayam Cine Combines,/wiki/Dheena,3,Yuvan Shankar Raja,7.2
2,2001,Friends,Siddique,"Vijay, Suriya, Devayani, Vijayalakshmi",null,Swargachitra,/wiki/Friends_(2001_film),4,Ilaiyaraaja,7.5
3,2001,Looty,Parameshwar,"Sathyaraj, Roja, Mumtaj",null,Evergreen Movie International,/wiki/Looty,3,"Deva,Deva",4.3
4,2001,Nageswari,Rama Narayanan,"Ramya Krishnan, Karan, Prithviraj",null,Sri Thenandal Films,/wiki/Nageswari,3,S. A. Rajkumar,
5,2001,Pullanalum Pondatti,Adade Manohar,"Adade Manohar, Viji",null,Jai Santoshi Maa Arts,/w/index.php?title=Pullanalum_Pondatti&action=edit&redlink=1,2,,
6,2001,Vaanchinathan,Shaji Kailas,"Vijayakanth, Sakshi Shivanand, Ramya Krishnan",null,Roja Combines,/wiki/Vaanchinathan,3,"Karthik Raja,Rajamani",
7,2001,Nila Kaalam,Gandhi Krishna,"Master Dinesh, Master Udayaraj, Baby Ranjini, Roja",null,Media Dreams,/wiki/Nila_Kaalam,4,"Bharani,Sangeetha Rajan",6.8
8,2001,Minnale,Gautham Menon,"R. Madhavan, Reemma Sen, Abbas, Nagesh",null,Cee I TV Entertainments,/wiki/Minnale,4,Harris Jayaraj,7.6
9,2001,Engalukkum Kaalam Varum,Bala Rooban,"Livingston, Kausalya, Kasthuri, Vineetha",null,Anbalaya Films,/wiki/Engalukkum_Kaalam_Varum,4,"Deva,Deva",
10,2001,Ullam Kollai Poguthae,Sundar C.,"Prabhu Deva, Anjala Zhaveri, Karthik",null,Lakshmi Movie Makers,/wiki/Ullam_Kollai_Poguthae,3,Karthik Raja,8.0
11,2001,Piriyadha Varam Vendum,Kamal,"Prashanth, Shalini, Jomol",null,Nekhela Enterprises,/wiki/Piriyadha_Varam_Vendum,3,S. A. Rajkumar,6.1
12,2001,Rishi,Sundar C.,"Sarath Kumar, Meena, Sanghavi",null,P. A. Art Productions,/wiki/Rishi_(2001_film),3,Yuvan Shankar Raja,3.9
13,2001,Thaalikaatha Kaaliamman,Somasundar,"Prabhu, Kausalya, Sanghavi",null,Sunar Theatres,/wiki/Thaalikaatha_Kaaliamman,3,Sirpy,7.2
14,2001,En Purushan Kuzhandhai Maadhiri,S. P. Rajkumar,"Livingston, Devayani, Vindhya",null,RR Movie Makers,/wiki/En_Purushan_Kuzhandhai_Maadhiri,3,"Deva,Deva",5.7
15,2001,Ninaikkatha Naalillai,A. L. Raja,"R. Parthiban, Rahman, Devayani, Kaveri",null,KRP Productions,/wiki/Ninaikkatha_Naalillai,4,"Deva,Deva",
16,2001,Paarvai Ondre Podhume,Murali Krishna,"Kunal, Monal, Karan",null,Amudha Movie Makers,/wiki/Paarvai_Ondre_Podhume,3,"Bharani,Bharani",
17,2001,Natchatra Kadhal,Nayakam,"Ajay, Bhavana, Subbalakshmi, Ashok Rao",null,NRI Films International,/w/index.php?title=Natchatra_Kadhal&action=edit&redlink=1,4,,
18,2001,Vinnukum Mannukum,Rajakumaran,"Vikram, Sarathkumar, Devayani, Kushboo",null,Super Good Films,/wiki/Vinnukum_Mannukum,4,Sirpy,5.9
19,2001,Badri,P. A. Arun Prasad,"Vijay, Bhoomika, Monal",null,Sri Venkateswara Art Films,/wiki/Badri_(2001_film),3,,6.5
20,2001,Dumm Dumm Dumm,Azhagam Perumal,"R. Madhavan, Jyothika, Vivek, Kalpana",null,Madras Talkies,/wiki/Dumm_Dumm_Dumm,4,Karthik Raja,7.0
21,2001,Little John,Singeetham Srinivasa Rao,"Bentley Mitchum, Jyothika, Prakash Raj",null,Media Dreams,/wiki/Little_John_(film),3,Pravin Mani,5.1
22,2001,Seerivarum Kaalai,Ramarajan,"Ramarajan, Abitha",null,Kanna Cine Arts,/wiki/Seerivarum_Kaalai,2,Sirpy,
