,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1986,Aayiram Kannudayaal,K. Shankar,"Padmini, Jeevitha, Prabha, Baby Shalini, Rajeev, Senthil",null,Sasivarnam Films,/wiki/Aayiram_Kannudayaal,Sankar Ganesh,6,7.1
2,1986,Aayiram Pookkal Malarattum,E. Ramadoss,"Mohan, Seetha, Ranjini, Goundamani, Senthil, Janagaraj",null,Motherland Pictures,/wiki/Aayiram_Pookkal_Malarattum,V. S. Narasimhan,6,
3,1986,Adutha Veedu,Rama Narayanan,"S. Ve. Shekher, Chandrasekhar, Ilavarasi, Madhuri",null,Visakam Art Productions,/w/index.php?title=Adutha_Veedu&action=edit&redlink=1,Sankar Ganesh,4,
4,1986,Africavil Appu,Vijay Anand,"Nalini, Suresh",null,Sri Rajeswari Creations,/w/index.php?title=Africavil_Appu&action=edit&redlink=1,Ilaiyaraaja,2,
5,1986,Amman Kovil Kizhakale,R. Sundarrajan,"Vijayakanth, Radha, Ravichandran, Srividya, Senthil",null,V. N. S. Productions,/wiki/Amman_Kovil_Kizhakale,Ilaiyaraaja,5,6.8
6,1986,Anandha Kanneer,K. Vijayan,"Sivaji Ganesan, Lakshmi, Visu, Rajeev, Nizhalgal Ravi, Jayashree, Rajyalakshmi, Janagaraj",null,Sivaji Productions,/wiki/Anandha_Kanneer,Sankar Ganesh,8,7.9
7,1986,Annai En Dheivam,R. Krishnamoorthy,"Vijayakanth, Jaishankar, K. R. Vijaya, Madhuri, Manorama, Y. G. Mahendra, Vadivukkarasi",null,Mandhralaya Arts,/w/index.php?title=Annai_En_Dheivam&action=edit&redlink=1,Sankar Ganesh,7,
8,1986,Aruvadai Naal,G. M. Kumar,"Prabhu, Pallavi, Ramkumar, Vadivukkarasi, Raasi",null,Sivaji Productions,/wiki/Aruvadai_Naal,Ilaiyaraaja,5,6.0
9,1986,Avalai Solli Kuttramillai,A. A. Soman,"Sarath Babu, Ranjini, Pavithra",null,Velan Creations,/w/index.php?title=Avalai_Solli_Kuttramillai&action=edit&redlink=1,Gangai Amaran,3,
10,1986,Bathil Solval Bhadrakali,S. Jagadeesan,"Jaishankar, K. R. Vijaya, Ilavarasi, Jeevitha, Viji, Rajeev, Senthil",null,Oaam Selvi Arts,/w/index.php?title=Bathil_Solval_Bhadrakali&action=edit&redlink=1,K. V. Mahadevan,7,
