,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1973,Alaigal,C. V. Sridhar,"Vishnuvardhan, Chandrakala, Cho, Manorama",null,Chithralaya Films,/wiki/Alaigal_(film),M. S. Viswanathan,4,6.9
2,1973,Amman Arul,Pattu,"Jaishankar, A. V. M. Rajan, Manjula, Thengai Srinivasan, K. A. Thangavelu",null,Ambika Movies,/wiki/Amman_Arul,Sankar Ganesh,5,
3,1973,Anbu Sagodharargal,Lakshmi Deepak,"Jaishankar, S. V. Ranga Rao, A. V. M. Rajan, Major Sundarrajan, Jamuna, Devika, Vennira Aadai Nirmala, Prameela, Cho, V. K. Ramasamy, Manorama",null,Jayanthi Films,/wiki/Anbu_Sagodharargal,K. V. Mahadevan,11,
4,1973,Arangetram,K. Balachander,"Prameela, Sivakumar, S. V. Subbaiah, M. N. Rajam, Shashikumar, Kamal Haasan, Jayachitra, Jayasudha",null,Kalakendra Films,/wiki/Arangetram_(film),V. Kumar,8,7.7
5,1973,Baghdad Perazhagi,T. R. Ramanna,"Jayalalithaa, Ravichandran, Savitri, Major Sundarrajan, Nagesh, Shubha, Jayasudha, Thengai Srinivasan, Sachu",null,Ganesh Creations,/wiki/Baghdad_Perazhagi,M. S. Viswanathan,9,
6,1973,Bharatha Vilas,A. C. Tirulokchandar,"Sivaji Ganesan, K. R. Vijaya, Major Sundarrajan, Devika, V. K. Ramasamy, M. R. R. Vasu, Manorama, Rajasulochana, Shashikumar, Sivakumar, Jayasudha, Jayachitra",null,Cine Bharath Productions,/wiki/Bharatha_Vilas,M. S. Viswanathan,12,6.3
7,1973,Deiva Kuzhandhaigal,S. P. Muthuraman,"Jaishankar, Jaya, R. Muthuraman, Kumari Padmini, Manorama, 'Baby' Sridevi, 'Master' Ramu",null,Victory Movies,/w/index.php?title=Deiva_Kuzhandhaigal&action=edit&redlink=1,V. Kumar,7,
8,1973,Dheiva Vamsam,K. Vijayan,"A. V. M. Rajan, Chandrakala",null,Jayam Combines,/w/index.php?title=Dheiva_Vamsam&action=edit&redlink=1,Sankar Ganesh,2,
9,1973,Engal Thaai,Malliyam Rajagopal,"Savitri, A. V. M. Rajan, Vennira Aadai Nirmala, Srikanth, Thengai Srinivasan, Manorama",null,Malliyam Productions,/w/index.php?title=Engal_Thaai&action=edit&redlink=1,M. S. Viswanathan,6,
10,1973,Engal Thanga Raja,V. B. Rajendra Prasad,"Sivaji Ganesan, Manjula, Sowcar Janaki, Nagesh",null,Jagapathy Art Pictures,/wiki/Engal_Thanga_Raja,K. V. Mahadevan,4,
11,1973,Ganga Gowri,B. R. Panthulu,"Gemini Ganesan, Jayalalithaa, Jayanthi, Sivakumar, Kumari Padmini, Cho, Thengai Srinivasan, Manorama",null,Padmini Pictures,/wiki/Ganga_Gowri_(1973_film),M. S. Viswanathan,8,7.8
12,1973,Gauravam,Vietnam Veedu Sundaram,"Sivaji Ganesan, Ushanandini, Pandari Bai, Nagesh, Major Sundarrajan, Rama Prabha",null,Vietnam Movies,/wiki/Gauravam_(1973_film),M. S. Viswanathan,6,7.2
13,1973,Iraivan Irukkindran,H. S. Venu,"Jaishankar, Jaya",null,Maha Ganapathy Films,/w/index.php?title=Iraivan_Irukkindran&action=edit&redlink=1,Sankar Ganesh,2,9.2
14,1973,Karaikkal Ammaiyar,A. P. Nagarajan,"K. B. Sundarambal, R. Muthuraman, Lakshmi, Sivakumar, Srividya, Kumari Padmini, Suruli Rajan, Manorama",null,Eveeyaar Films,/wiki/Karaikkal_Ammaiyar_(1973_film),Kunnakudi Vaidyanathan,8,9.6
15,1973,Kasi Yathirai,S. P. Muthuraman,"Srikanth, Jaya, V. K. Ramasamy, Cho, Manorama, Thengai Srinivasan, Suruli Rajan, Kumari Padmini",null,Sri Devi Cine Arts,/wiki/Kasi_Yathirai,Sankar Ganesh,8,
16,1973,Kattila Thottila,Malliyam Rajagopal,"Gemini Ganesan, P. Bhanumathi, Kalpana, Sivakumar, Thengai Srinivasan, Manorama, Master Sekhar, Master Ramu",null,Arul Films,/wiki/Kattila_Thottila,V. Kumar,8,
17,1973,Komatha En Kulamatha,M. A. Thirumugam,"Prameela, Srikanth, Nagesh, M. Bhanumathi",null,Dhandayudhapani Films,/wiki/Komatha_En_Kulamatha,Sankar Ganesh,4,
18,1973,Malai Naattu Mangai,P. Subramaniam,"Gemini Ganesan, Vijayasree, Cho",null,Rani Productions,/w/index.php?title=Malai_Naattu_Mangai&action=edit&redlink=1,Vedpaul Sharma,3,
19,1973,Malligai Poo,N. S. Maniam,"R. Muthuraman, K. R. Vijaya, Srikanth, Prameela, Thengai Srinivasan",null,Geethalayaa Productions,/w/index.php?title=Malligai_Poo&action=edit&redlink=1,V. Kumar,5,
20,1973,Manidharil Manikkam,C. V. Rajendran,"Sivaji Ganesan, A. V. M. Rajan, Prameela, Cho, Manorama, Suruli Rajan",null,Vasanth Movies,/wiki/Manidharil_Manikkam,M. S. Viswanathan,6,
21,1973,Manipayal,A. Jagannathan,"A. V. M. Rajan, Jayanthi, Master Sekhar, Baby Indira, V. K. Ramasamy, Thengai Srinivasan, Manorama",null,Selvi Enterprises,/wiki/Manipayal,M. S. Viswanathan,7,
22,1973,Manjal Kungumam,Pattu,"Ravichandran, Sheela, Savitri, Thengai Srinivasan, Manorama",null,Kumudhum Productions,/w/index.php?title=Manjal_Kungumam&action=edit&redlink=1,Sankar Ganesh,5,
23,1973,Maru Piravi,T. R. Ramanna,"R. Muthuraman, Manjula, S. A. Ashokan, Thengai Srinivasan",null,Vijaya & Suri Combines,/wiki/Maru_Piravi,T. R. Pappa,4,
24,1973,Nalla Mudivu,C. N. Shanmugham,"Gemini Ganesan, Jayanthi, R. Muthuraman, Venniradai Nirmala, Cho, Manorama, Thengai Srinivasan",null,Poongothai Pictures,/w/index.php?title=Nalla_Mudivu&action=edit&redlink=1,M. S. Viswanathan,7,
25,1973,Nathayil Muthu,K. S. Gopalakrishnan,"K. R. Vijaya, R. Muthuraman, S. V. Subbaiah, S. Varalakshmi",null,Chitra Productions,/wiki/Nathayil_Muthu,Sankar Ganesh,4,5.3
26,1973,Nee Ullavarai,C. V. Ramana,"A. V. M. Rajan, Kumari Padmini, Pandari Bai",null,Padma Enterprises,/w/index.php?title=Nee_Ullavarai&action=edit&redlink=1,,3,
27,1973,Nyayam Ketkirom,C. V. Rajendran,"R. Muthuraman, Lakshmi, Kanchana, Nagesh",null,A. L. S. Productions,/wiki/Nyayam_Ketkirom,M. S. Viswanathan,4,
28,1973,Pasa Deepam,Pattu,"A. V. M. Rajan, Manjula, Sowcar Janaki",null,Raja Rathna Productions,/w/index.php?title=Pasa_Deepam&action=edit&redlink=1,K. V. Mahadevan,3,5.9
29,1973,Pattikaattu Ponnaiya,B. S. Ranga,"M. G. Ramachandran, Jayalalithaa, Rajasree, Nagesh, Thengai Srinivasan",null,Vasanth Pictures,/wiki/Pattikaattu_Ponnaiya,K. V. Mahadevan,5,6.8
30,1973,Pennai Nambungal,B. V. Srinivasan,"A. V. M. Rajan, Jayanthi, Sivakumar, Jayachitra",null,Suchithra Films,/w/index.php?title=Pennai_Nambungal&action=edit&redlink=1,V. Kumar,4,
31,1973,Petha Manam Pithu,S. P. Muthuraman,"Savitri, R. Muthuraman, Jaya, Srikanth, A. Sakunthala, Cho, Manorama, Suruli Rajan, Jayasudha, Jayachandran",null,Victory Movies,/w/index.php?title=Petha_Manam_Pithu&action=edit&redlink=1,V. Kumar,10,
32,1973,Ponnunjal,C. V. Rajendran,"Sivaji Ganesan, Ushanandini, R. Muthuraman, Cho, Manorama",null,Gomathy Shankar Pictures,/wiki/Ponnunjal,M. S. Viswanathan,5,5.2
33,1973,Ponnukku Thanga Manasu,Devaraj–Mohan,"Sivakumar, Vijayakumar, Jayachitra, Vidhubala, K. A. Thangavelu, M. R. R. Vasu, Manorama",null,Arun Prasad Movies,/wiki/Ponnukku_Thanga_Manasu,G. K. Venkatesh,7,
34,1973,Ponvandu,N. S. Maniam,"Jaishankar, Bharathi, Ushanandini, Jayachitra, Cho, Thengai Srinivasan, Sachu, Manorama, Suruli Rajan",null,Maniam Pictures,/wiki/Ponvandu,V. Kumar,9,
35,1973,Pookkari,Krishnan–Panju,"M. K. Muthu, Manjula, Vennira Aadai Nirmala, Jayachitra, Thengai Srinivasan",null,Anjugam Pictures,/wiki/Pookkari,M. S. Viswanathan,5,
36,1973,Prarthanai,Kaushikan,"A. V. M. Rajan, Vennira Aadai Nirmala, Sowcar Janaki, Cho, Thengai Srinivasan, Manorama",null,Chitra Lok Productions,/w/index.php?title=Prarthanai&action=edit&redlink=1,T. K. Ramamoorthy,6,4.7
37,1973,Radha,A. C. Tirulokchandar,"R. Muthuraman, Prameela, Rani Chandra, Nagesh",null,Nahata Productions,/w/index.php?title=Radha_(1973_film)&action=edit&redlink=1,M. S. Viswanathan,4,
38,1973,Rajaraja Cholan,A. P. Nagarajan,"Sivaji Ganesan, R. Muthuraman, Lakshmi, C. R. Vijayakumari, S. Varalakshmi, Sivakumar, Kumari Padmini, T. R. Mahalingam, Seerkazhi Govindarajan, Suruli Rajan, Manorama",null,Anand Movies,/wiki/Rajaraja_Cholan,Kunnakudi Vaidyanathan,11,7.7
39,1973,Rajapart Rangadurai,P. Madhavan,"Sivaji Ganesan, Ushanandini, Jaya, Srikanth, Sasikumar, Kumari Padmini, Suruli Rajan, Manorama",null,Chitramala Combines,/wiki/Rajapart_Rangadurai,M. S. Viswanathan,8,7.7
40,1973,School Master,B. R. Panthulu,"Gemini Ganesan, Sowcar Janaki, Srikanth, Rajasree, Cho, Thengai Srinivasan, Rama Prabha",null,Padmini Pictures,/wiki/School_Master_(1973_film),M. S. Viswanathan,7,
41,1973,Shanmugapriya,K. Krishnamurthy,"R. Muthuraman, Jayanthi, Cho, Suruli Rajan, Manorama",null,Sri Chitra Mahal Productions,/w/index.php?title=Shanmugapriya_(film)&action=edit&redlink=1,Jaya-Vijaya,5,
42,1973,Sollathaan Ninaikkiren,K. Balachander,"Sivakumar, S. V. Subbaiah, Kamal Haasan, Jayachitra, Srividya, Shubha, Jayasudha",null,Udhayam Productions,/wiki/Sollathaan_Ninaikkiren,M. S. Viswanathan,7,7.3
43,1973,Sondham,A. C. Tirulokchandar,"R. Muthuraman, K. R. Vijaya, Prameela, Sivakumar, V. K. Ramasamy, Suruli Rajan",null,Amudham Pictures,/w/index.php?title=Sondham_(1973_film)&action=edit&redlink=1,M. S. Viswanathan,6,
44,1973,Suryagandhi,V. Srinivasan,"Jayalalithaa, R. Muthuraman, Savitri, Major Sundarrajan, Cho, Manorama",null,Vidhya Films,/wiki/Suryagandhi,M. S. Viswanathan,6,7.0
45,1973,Thalai Prasavam,M. Krishnan,"Jaishankar, Lakshmi, Nagesh",null,Sri Guruvayoorappan Productions,/w/index.php?title=Thalai_Prasavam&action=edit&redlink=1,M. S. Viswanathan,3,
