,year,title,director,cast,genre,producer,link,cast_size,music,imdb
120,2018,Thimiru Pudichavan,Ganeshaa,"Vijay Antony, Nivetha Pethuraj, Sai Dheena",null,Vijay Antony Film Corporation,/wiki/Thimiru_Pudichavan,3,Vijay Antony,5.4
121,2018,Utharavu Maharaja,Asif Kuraishi,"Udhaya, Priyanka Thimmesh, Prabhu",null,Jaeshan Studios,/wiki/Utharavu_Maharaja,3,Naren Balakumar,
122,2018,Karimugan,Chella Thangaiah,"Senthil Ganesh, Gayatri Rema",null,A Vimal Production,/wiki/Karimugan,2,Chella Thangaiah,
123,2018,Karthikeyanum Kaanamal Pona Kadhaliyum,M. A. Bala,"Deepak, Haritha, Black Pandi",null,Twinkle Labs Production,,3,,
124,2018,Pattinapakkam,Jayadev,"Kalaiyarasan, Anaswara Kumar, Chaya Singh",null,SP Cinemas,/wiki/Pattinapakkam,3,Ishaan Dev,4.2
125,2018,Sagavaasam,S. Thomas Newton,"Rajarajan, Jayashree, Power Star Srinivasan",null,Sathiyan Movies,,3,,
126,2018,Sei,Raj Babu,"Nakkhul, Aanchal Munjal, Chandrika Ravi",null,Trippy Turtle Productions,/wiki/Sei_(film),3,NyX Lopez,4.0
127,2018,Semmari Aadu,Sathish Subramanyam,"Sathish Subramanyam, Haritha, Gopitha",null,Paisa Creations,,3,,
128,2018,Vandi,Rajeesh Bala,"Vidharth, Chandini Tamilarasan, John Vijay",null,Rooby Films,/wiki/Vandi_(2018_film),3,Sooraj S. Kurup,6.0
129,2018,2.0,Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson",null,Lyca Productions,/wiki/2.0_(film),3,A. R. Rahman,6.3
130,2018,Dhoni Kabadi Kuzhu,P. Iyappan,"Abhilash, Leema Babu, Pugazh, Thenali",null,Manitham Thiraikkalam,/wiki/Dhoni_Kabadi_Kuzhu,4,Roshan Joseph,5.6
131,2018,Evanukku Engeyo Matcham Irukku,A. R. Mukesh,"Vimal, Ashna Zaveri, Poorna",null,Sai Productions,/wiki/Evanukku_Engeyo_Matcham_Irukku,3,Natarajan Sankaran,3.4
132,2018,Seemathurai,Santhosh Thiyagarajan,"Geethan Britto, Varsha Bollamma, Adesh Bala",null,Buvan Media Works,/wiki/Seemathurai,3,Jose Franklin,6.8
133,2018,Vinai Ariyar,K. T. Murugan,"Jack Robinson, Kamali, Udayaraj, Scissor Manohar",null,Naagai Films,,4,,
134,2018,Bayangaramana Aalu,Arasar Raja,"Arasar Raja, Risha, Ganja Karuppu",null,Pharristha Pictures,,3,,
135,2018,Johnny,P. Vetriselvan,"Prashanth, Sanchita Shetty, Ashutosh Rana",null,Staar Movies,/wiki/Johnny_(2018_film),3,Ranjan Durairaj,5.4
136,2018,Prabha,A. Nanthan,"Swasika, Vijayaram, Rajinipani",null,Tamizh Thirai Niruvanam,,3,,
137,2018,Thiru,Karthik Sivan,"Karthik Sivan, Kushi Nair, Mohamed Dawood",null,Rock Entertainments,,3,,
138,2018,Thulam,Rajanagajothi,"Nivad, Jayshree, Ponnambalam, Manobala",null,Magical Creations Movies,,4,,
139,2018,Thuppakki Munai,Dinesh Selvaraj,"Vikram Prabhu, Hansika Motwani, Vela Ramamoorthy",null,V Creations,/wiki/Thuppakki_Munai,3,Saarvin Raj,6.4
140,2018,Seethakaathi,Balaji Tharaneetharan,"Vijay Sethupathi, Archana, Mahendran",null,Passion Studios,/wiki/Seethakaathi,3,Govind Vasantha,7.0
141,2018,Adanga Maru,Karthik Thangavel,"Jayam Ravi, Raashi Khanna",null,Home Movie Makers,/wiki/Adanga_Maru,2,Sam C. S.,7.2
142,2018,Kanaa,Arunraja Kamaraj,"Aishwarya Rajesh, Sathyaraj, Darshan",null,Sivakarthikeyan Productions,/wiki/Kanaa_(film),3,,7.8
143,2018,Maari 2,Balaji Mohan,"Dhanush, Sai Pallavi, Kreshna, Tovino Thomas",null,Wunderbar Films,/wiki/Maari_2,4,Yuvan Shankar Raja,5.6
144,2018,Silukkuvarupatti Singam,Chella,"Vishnu, Regina Cassandra, Oviya",null,Vishnu Vishal Studioz,/wiki/Silukkuvarupatti_Singam,3,"Leon James,composer,Leon James",5.4
