,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1992,Amaran,K. Rajeshwar,"Karthik, Bhanupriya",null,Annalakshmi Films,/wiki/Amaran_(film),2,Adithyan,7.6
2,1992,Aval Oru Vasantham,Jayadevan,"Prabhuraj, Jayanthi",null,Sharmila Creations,,2,,
3,1992,Brahmachari,Muktha Srinivasan,"Nizhalgal Ravi, Gautami",null,Muktha Films,/wiki/Brahmachari_(1992_film),2,Deva,
4,1992,Chinna Gounder,R. V. Udayakumar,"Vijayakanth, Sukanya, Goundamani",null,Ananthi Films,/wiki/Chinna_Gounder,3,Ilaiyaraaja,6.9
5,1992,Ilavarasan,Senthilnathan,"R. Sarathkumar, Sukanya",null,Sathya Movies,/wiki/Ilavarasan,2,Deva,
6,1992,Mannan,P. Vasu,"Rajinikanth, Vijayashanti, Kushboo",null,Sivaji Productions,/wiki/Mannan_(film),3,Ilaiyaraaja,7.2
7,1992,Pandithurai,Manoj Kumar,"Prabhu, Kushboo",null,K. B. Films,/wiki/Pandithurai,2,Ilaiyaraaja,4.2
8,1992,Rickshaw Mama,P. Vasu,"Sathyaraj, Kushboo, Gautami, 'Baby' Sridevi",null,Shri Mishri Productions,/wiki/Rickshaw_Mama,4,Ilaiyaraaja,5.3
9,1992,Sundara Kandam,K. Bhagyaraj,"K. Bhagyaraj, Bhanupriya, Sindhuja",null,Saranya Cine Combines,/wiki/Sundara_Kandam,3,Deepak,7.3
10,1992,Vanna Vanna Pookkal,Balu Mahendra,"Prashanth, Mounika, Vinodhini",null,Subramaniya Films,/wiki/Vanna_Vanna_Pookkal,3,Ilaiyaraaja,6.1
11,1992,Chinna Thayee,S. Ganesaraj,"Vignesh, Padmasri",null,M. S. R. Films,/wiki/Chinna_Thayee,2,Ilaiyaraaja,5.9
12,1992,Agni Paarvai,P. Madhavan,"Su. Thirunavukkarasar, Nizhalgal Ravi, Saranya Ponvannan, Ramkumar,  Anju",null,Ponmanam Films,/wiki/Agni_Paarvai,5,Ilaiyaraaja,
13,1992,Rendu Pondatti Kaavalkaaran,Relangi Narasimha Rao,"Anand Babu, Rohini, Vaidehi",null,Sree Productions,/wiki/Rendu_Pondatti_Kaavalkaaran,3,"Raj,Koti",
14,1992,Thambi Pondatti,Panchu Arunachalam,"Rahman, Nizhalgal Ravi, Sukanya, Ramya Krishnan",null,Geetha Chithra Combines,/wiki/Thambi_Pondatti,4,Ilaiyaraaja,5.2
