,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1991,Gnana Paravai,Vietnam Veedu Sundaram,"Sivaji Ganesan, Harish Kumar, Sasikala, Manorama",null,Yagava Productions,/wiki/Gnana_Paravai,4,M. S. Viswanathan,
2,1991,Sami Potta Mudichu,R. Sundarrajan,"Murali, Sindhu",null,Amma Creations,/wiki/Sami_Potta_Mudichu,2,Ilaiyaraaja,
3,1991,Sigaram,Ananthu,"S. P. Balasubrahmanyam, Rekha, Radha, Anand Babu, Ramya Krishnan",null,Kavithalayaa Productions,/wiki/Sigaram,5,,
4,1991,Vaa Arugil Vaa,Kalaivanan Kannadasan,"Raja, Vaishnavi, Ramya Krishnan",null,Chozha Cine Arts,/wiki/Vaa_Arugil_Vaa,3,Chanakya,6.0
5,1991,Eeramana Rojave,K. R.,"Shiva, Mohini",null,K. R Enterprises,/wiki/Eeramana_Rojave,2,,6.1
6,1991,Dharma Dorai,Rajasekhar,"Rajinikanth, Gautami, Nizhalgal Ravi",null,Raasikala Mandhir International,/wiki/Dharma_Dorai,3,Ilaiyaraaja,6.5
7,1991,Kumbakarai Thangaiah,Gangai Amaran,"Prabhu, Kanaka",null,Murugan Cine Arts,/wiki/Kumbakarai_Thangaiah,2,Ilaiyaraaja,3.2
8,1991,Naadu Adhai Naadu,Ramathilaga Rajan,"Ramarajan, Rupini",null,Meena Movies,/wiki/Naadu_Adhai_Naadu,2,"Deva,Deva",
9,1991,Perum Pulli,Vikraman,"Babu, Suman Ranganathan",null,Super Good Films,/wiki/Perum_Pulli,2,S. A. Rajkumar,
10,1991,Thaiyalkaran,S. P. Muthuraman,"Parthiban, Aishwarya",null,Kalaippuli International,/wiki/Thaiyalkaran,2,S. P. Balasubrahmanyam,
11,1991,Theechati Govindhan,Sasi Mohan,"Thyagarajan, Gautami",null,Sri Rajeshwari Creations,/w/index.php?title=Theechati_Govindhan&action=edit&redlink=1,2,,6.8
12,1991,Thai Poosam,Rama Narayanan,"Nassar, Bhanupriya, Shamili",null,Sri Thenaandal Films,,3,,
13,1991,Vanakkam Vathiyare,Ameerjan,"Karthik, Saranya",null,P. S. V. Pictures,/wiki/Vanakkam_Vathiyare,2,V. R. Sampath Selvam,
14,1991,Namma Ooru Mariamma,K. Rajan,"Nizhalgal Ravi, Vaidehi, R. Sarathkumar",null,Ganesh Cine Arts,/wiki/Namma_Ooru_Mariamma,3,Sankar Ganesh,
15,1991,Nanbargal,Shoba Chandrasekhar,"Neeraj, Mamta Kulkarni",null,V. V. Creations,/wiki/Nanbargal,2,"Babul Bose,Film score,Sangeetha Rajan",
16,1991,Sir...I Love You,G. N. Rangarajan,"Sivakumar, Lakshmi",null,Jagan Mohini Movies,,2,,5.0
17,1991,Aasai Kiliye Kobama,T. K. Prasad,"Balachander, Devi",null,Art Land Movies,,2,,7.6
18,1991,Irumbu Pookkal,G. M. Kumar,"Karthik, Pallavi, Rekha",null,Pushpalayaam Movies,/wiki/Irumbu_Pookkal,3,"M. S. Viswanathan,Ilaiyaraaja",4.0
19,1991,Naan Pudicha Mappillai,V. Sekhar,"Nizhalgal Ravi, Saranya, Aishwarya",null,Jayalakshmi Movie Combines,/wiki/Naan_Pudicha_Mappillai,3,"Chandrabose,Chandrabose",
20,1991,Chithirai Pookkal,Kanmani Subbu,"Jayanthkumar, Vinodhini, R. Sarathkumar",null,Naachiyaar Movies,/wiki/Chithirai_Pookkal,3,M. S. Murali,
21,1991,Annan Kaattiya Vazhi,K. S. Madhangan,"Ramarajan, Seetha, Rupini",null,East Gold Films,,3,,
22,1991,Mookuthi Poomeley,Sangaman,"Soundarrajan, Kalairanjani",null,Best Cine Films,,2,,7.4
23,1991,Pudhu Nellu Pudhu Naathu,Bharathiraja,"Rahul, Sukanya",null,Mookambigai Art Creations,/wiki/Pudhu_Nellu_Pudhu_Naathu,2,Ilaiyaraaja,6.1
24,1991,Uruvam,G. M. Kumar,"Mohan, Pallavi, Jayamala",null,Prathik Pictures,/wiki/Uruvam,3,,6.6
25,1991,Vetri Karangal,R. Krishnamoorthy,"Prabhu, Prem Menon, Rupini, Sadhana",null,A Lotus Film Company,/wiki/Vetri_Karangal,4,Ilaiyaraaja,
26,1991,Vetri Padigal,Manobala,"Ramki, Nirosha, R. Sarathkumar",null,Chithramahal and S. D. Enterprises,/wiki/Vetri_Padigal,3,Ilaiyaraaja,
27,1991,Apoorva Naagam,Chozharajan,"Nizhalgal Ravi, Gautami, Srividya",null,V. K. Films,,3,,
28,1991,Gopura Vasalile,Priyadarshan,"Karthik, Bhanupriya, Suchithra",null,Arul Nithi Films,/wiki/Gopura_Vasalile,3,Ilaiyaraaja,6.6
29,1991,Pudhu Manithan,Manivannan,"Sathyaraj, Bhanupriya, Goundamani",null,Sathya Movies,/wiki/Pudhu_Manithan,3,"Deva,Deva",
30,1991,Thanga Thamaraigal,V. Azhagappan,"Arjun, Rupini",null,Gangai Film Circuit,/wiki/Thanga_Thamaraigal,2,Ilaiyaraaja,
31,1991,Chinna Thambi,P. Vasu,"Prabhu, Kushboo, Goundamani",null,Malar Combines,/wiki/Chinna_Thambi,3,,6.6
32,1991,En Rasavin Manasile,Kasthuri Raja,"Rajkiran, Meena, Saradha Preetha",null,Redsun Art Creations,/wiki/En_Rasavin_Manasile,3,Ilaiyaraaja,6.5
33,1991,Adhikari,P. Vasu,"C. Arunpandian, Gautami",null,Jayanthi Films,/wiki/Adhikari_(film),2,Gangai Amaran,
34,1991,Captain Prabhakaran,R. K. Selvamani,"Vijayakanth, R. Sarathkumar, Rupini, Ramya Krishnan",null,I. V. Cine Productions,/wiki/Captain_Prabhakaran,4,Ilaiyaraaja,7.1
35,1991,Enga Ooru Sippai,K. Manimurugan,"Arjun, Sri Bhanu",null,Madurai J. C. Films,/wiki/Enga_Ooru_Sippai,2,S. A. Rajkumar,
36,1991,Nattai Thirudathey,N. Sendhilnathan,"Janagaraj, Sumithra",null,Lakshmi Productions,,2,,
37,1991,Pavunnu Pavunuthan,K. Bhagyaraj,"K. Bhagyaraj, Rohini",null,Eknaath Movie Creations,/wiki/Pavunnu_Pavunuthan,2,K. Bhagyaraj,6.6
38,1991,Shanti Enathu Shanti,T. Rajendar,"T. Rajendar, Radha",null,Chimbu Cine Arts,/wiki/Shanti_Enathu_Shanti,2,T. Rajendar,4.7
39,1991,Karpoora Mullai,Fazil,"Raja, Amala",null,Ilaiyaraaja Creations,/wiki/Karpoora_Mullai,2,Ilaiyaraaja,6.4
40,1991,Marikozhundhu,Pudhiyavan,"Ramesh Aravind, Aishwarya",null,A. K. M. Creations,/wiki/Marikozhundhu,2,"Deva,Deva",
41,1991,Aatha Un Koyilile,Kasthuri Raja,"Selva, Kasthuri",null,Anbalaya Films,/wiki/Aatha_Un_Koyilile,2,"Deva,Deva",9.2
42,1991,Nallathai Naadu Kekum,Jeppiaar,"Jeppiaar, Gautami, Rekha",null,Jepiyar Pictures,/wiki/Nallathai_Naadu_Kekum,3,"Shankar Ganesh,Shankar,Ganesh",
43,1991,Kaaval Nilayam,Senthilnathan,"R. Sarathkumar, Anandaraj, Gautami",null,Vijayakumari Films,/wiki/Kaaval_Nilayam,3,Sankar Ganesh,
44,1991,Mill Thozhilali,A. Jagannathan,"Ramarajan, Aishwarya",null,Kavibharathy Creations,/wiki/Mill_Thozhilali,2,"Deva,Deva",
45,1991,Idhaya Vaasal,Chandranath,"Ramesh Aravind, Meena, R. Sarathkumar",null,Vasanthalayaa Creations,/wiki/Idhaya_Vaasal,3,Viji Manuel,
46,1991,Cheran Pandiyan,K. S. Ravikumar,"R. Sarathkumar, Vijayakumar, Manjula Vijayakumar, Anand Babu, Sreeja, Chithra",null,Super Good Films,/wiki/Cheran_Pandiyan,6,Soundaryan,
47,1991,Ennarukil Nee Irunthal,Sundar K. Vijayan,"Guru, Priyanka",null,Thamizh Thaai Movies,/wiki/Ennarukil_Nee_Irunthal,2,Ilaiyaraaja,
