,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1972,Agathiyar,A. P. Nagarajan,"Sirkazhi Govindarajan, T. R. Mahalingam, A. V. M. Rajan, Lakshmi, Kumari Padmini, C. R. Vijayakumari, T. K. Bagavathy, Sivakumar, A. Sakunthala, Suruli Rajan, Manorama, Sridevi",null,Shri Vijayalakshmi Pictures,/wiki/Agathiyar,Kunnakudi Vaidyanathan,12,6.6
2,1972,Annai Abirami,G. N. Velumani,"K. R. Vijaya, Sivakumar, Jaya, Thengai Srinivasan, Manorama, Suruli Rajan",null,Sri Kamakshi Agencies,/w/index.php?title=Annai_Abirami&action=edit&redlink=1,Kunnakudi Vaidyanathan,6,6.6
3,1972,Annamitta Kai,M. Krishnan,"M. G. Ramachandran, Jayalalithaa, Bharathi, Nagesh, Manorama",null,Ramachandra Production,/wiki/Annamitta_Kai,K. V. Mahadevan,5,6.6
4,1972,Appa Tata,Malliyam Rajagopal,"Gemini Ganesan, Padmini, Sowcar Janaki, Major Sundarrajan, Nagesh, Manorama",null,Sri Venkateswara Production,/w/index.php?title=Appa_Tata&action=edit&redlink=1,V. Kumar,6,
5,1972,Ashirvadham,R. Devarajan,"Jaishankar, K. R. Vijaya, Lakshmi, Nagesh",null,Devagi Pictures,/w/index.php?title=Ashirvadham&action=edit&redlink=1,M.S. Viswanathan,4,
6,1972,Aval,A. C. Tirulokchandar,"Vennira Aadai Nirmala, A. V. M. Rajan, Shashikumar, J. P. Chandrababu, Manorama",null,Vijayalakshmi Pictures,/wiki/Aval_(1972_film),Sankar Ganesh,5,
7,1972,Avasara Kalyanam,V. T. Thyagarajan,"Jaishankar, Vanisri, Nagesh, Rama Prabha",null,Subalakshmi Movies,/wiki/Avasara_Kalyanam,T. R. Pappa,4,
8,1972,Bathilukku Bathil,Jambulingam,"A. V. M. Rajan, R. Muthuraman, C. R. Vijayakumari, Vennira Aadai Nirmala, Kumari Padmini, Suruli Rajan",null,Balan Combines,/w/index.php?title=Bathilukku_Bathil&action=edit&redlink=1,S. M. Subbaiah Naidu,6,
9,1972,Deiva Sankalpam,P. R. Somu,"A. V. M. Rajan, C. R. Vijayakumari, T. S. Balaiah, S. Varalakshmi, Cho, Sachu",null,Sri Padmanabha Pictures,/w/index.php?title=Deiva_Sankalpam&action=edit&redlink=1,V. Kumar,6,
10,1972,Delhi To Madras,I. N. Murthy,"Jaishankar, Srividya, R. Muthuraman, Nagesh, Vijayasree, M. A. Radhika",null,Sri Raji Movies,/w/index.php?title=Delhi_To_Madras&action=edit&redlink=1,V. Kumar,6,
11,1972,Dharmam Engey,A. C. Tirulokchandar,"Sivaji Ganesan, Jayalalithaa, R. Muthuraman, Nagesh, Kumari Padmini",null,Shanthi Films,/wiki/Dharmam_Engey,M. S. Viswanathan,5,
12,1972,Dheivam,M. A. Thirumugam,"Gemini Ganesan, K. R. Vijaya, A. V. M. Rajan, Sowcar Janaki, R. Muthuraman, Nagesh, Sivakumar, Jaya",null,Dhandayuthapani Films,/wiki/Dheivam,Kunnakudi Vaidyanathan,8,
13,1972,Dhikku Theriyadha Kaattil,N. C. Chakravarthy,"Jayalalithaa, R. Muthuraman, Nagesh, V. K. Ramasamy, Sachu, Baby Sumathi",null,Ramkumar Films,/wiki/Dhikku_Theriyadha_Kaattil,M. S. Viswanathan,6,
14,1972,Ellai Kodu,S. Raghavan,"Gemini Ganesan, Ravichandran, C. R. Vijayakumari, Rajasree, Venniradai Moorthy, Sachu",null,Swarnalakshmi Company,/w/index.php?title=Ellai_Kodu&action=edit&redlink=1,K. V. Mahadevan,6,
15,1972,Enna Muthalali Sowkiyama,Malliyam Rajagopal,"Gemini Ganesan, K. R. Vijaya, Nagesh, Major Sundarrajan, Jayabharathi",null,Anna Productions,/wiki/Enna_Muthalali_Sowkiyama,M. S. Viswanathan,5,
16,1972,Ganga,M. Karnan,"Jaishankar, Rajakokila, Nagesh, A. Sakunthala, Jayakumari",null,Indhrani Films,/wiki/Ganga_(1972_film),Sankar Ganesh,5,
17,1972,Gnana Oli,P. Madhavan,"Sivaji Ganesan, Sharada, Major Sundarrajan",null,Jayaar Movies,/wiki/Gnana_Oli,M. S. Viswanathan,3,7.1
18,1972,Hello Partner,K. Krishnamurthy,"Nagesh, Vijaya Lalitha, V. K. Ramasamy, Thengai Srinivasan, Sachu",null,Sri Chithra Mahal,/w/index.php?title=Hello_Partner&action=edit&redlink=1,Dharapuram Sundarrajan,5,
19,1972,Idhaya Veenai,Krishnan–Panju,"M. G. Ramachandran, Manjula, Lakshmi, Sivakumar, Thengai Srinivasan, Sachu",null,Udhayam Productions,/wiki/Idhaya_Veenai,Sankar Ganesh,6,6.1
20,1972,Itho Enthan Deivam,A. C. Tirulokchandar,"K. R. Vijaya, R. Muthuraman, Major Sundarrajan, Nagesh, V. K. Ramasamy",null,Amutham Pictures,/w/index.php?title=Itho_Enthan_Deivam&action=edit&redlink=1,M. S. Viswanathan,5,
21,1972,Jakkamma,M. Karnan,"Jaishankar, Savitri, Ushanandini, Thengai Srinivasan, Manorama, Master Selvam, Master Jagganathan",null,Vijaya Chitra Films,/wiki/Jakkamma_(film),S. M. Subbaiah Naidu,7,
22,1972,Kadhalikka Vanga,I. N. Murthy,"Jaishankar, Kavitha, Major Sundarrajan, Thengai Srinivasan, Manorama, Srikanth, Vijaya Girija, Shabnam",null,Comedy Pictures,/wiki/Kadhalikka_Vanga,Raghava Naidu,8,
