,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1977,16 Vayathinile,P. Bharathiraja,"Kamal Haasan, Sridevi, Rajinikanth",null,Sri Amman Creations,/wiki/16_Vayathinile,"Ilaiyaraaja
    [திஞா]",3,8.0
2,1977,Aadu Puli Attam,S. P. Muthuraman,"Kamal Haasan, Sripriya, Rajinikanth, Sangeetha, Thengai Srinivasan",null,Swarnambika Productions,/wiki/Aadu_Puli_Attam_(1977_film),"Vijaya Bhaskar
    [திஞா]",5,6.6
3,1977,Aalukkoru Aasai,S. P. Muthuraman,"R. Muthuraman, Jayachitra, Thengai Srinivasan",null,Cine Enterprises,/w/index.php?title=Aalukkoru_Aasai_(1977_film)&action=edit&redlink=1,Ilaiyaraaja,3,5.8
4,1977,Aarupushpangal,K. M. Balakrishnan,"Vijayakumar, Srividya, Rajinikanth",null,Ashtalakshmi Pictures,/wiki/Aarupushpangal,"M. S. Viswanathan
     [ திஞா]",3,5.3
5,1977,Aasai Manaivi,K. Sornam,"Jaishankar, Sujatha, Bhavani",null,Suryalaya Productions,/wiki/Aasai_Manaivi,"Sankar Ganesh
     [திஞா]",3,5.8
6,1977,Aattukara Alamelu,R. Thyagarajan,"Sivakumar, Sripriya, Jai Ganesh",null,Dhandayudhapani Films,/wiki/Aattukara_Alamelu,Sankar Ganesh,3,5.2
7,1977,Agraharathil Kazhutai,John Abraham,"M. B. Sreenivasan, Swathi, Srilalitha",null,Nirmiti Films,/wiki/Agraharathil_Kazhutai,M. B. Sreenivasan,3,7.0
8,1977,Andru Sinthiya Ratham,R. Sundaram,"Jaishankar, Padmapriya, Thengai Srinivasan",null,Geetha Chitra Productions,/w/index.php?title=Andru_Sinthiya_Ratham&action=edit&redlink=1,"V. Kumar
    [திஞா]",3,
9,1977,Annan Oru Koyil,K. Vijayan,"Sivaji Ganesan, Sujatha, Sumithra, Jai Ganesh",null,Sivaji Productions,/wiki/Annan_Oru_Koyil,M. S. Viswanathan,4,8.3
10,1977,Avan Oru Sarithiram,K. S. Prakash Rao,"Sivaji Ganesan, Manjula, Kanchana, Cho",null,Gomathi Sankar Pictures,/wiki/Avan_Oru_Sarithiram,M. S. Viswanathan,4,
11,1977,Avar Enakke Sontham,Pattu,"Jaishankar, Srividya, Fatafat Jayalaxmi, Thengai Srinivasan, Y. Vijaya",null,P. A. Productions,/w/index.php?title=Avar_Enakke_Sontham&action=edit&redlink=1,Ilaiyaraaja,5,
12,1977,Avargal,K. Balachander,"Kamal Haasan, Sujatha, Rajinikanth, 'Kumari' Padmini, Kutty Padmini",null,Kalakendra Movies,/wiki/Avargal,M. S. Viswanathan,5,6.9
13,1977,Balaparichai,V. Srinivasan,"R. Muthuraman, Jaiganesh, Sujatha, Prameela, Cho, Manorama, Y. Vijaya",null,Muktha Films,/w/index.php?title=Balaparichai&action=edit&redlink=1,T. M. Soundararajan,7,
14,1977,Bhuvana Oru Kelvi Kuri,S. P. Muthuraman,"Sivakumar, Rajinikanth, Sumithra, Jaya Guhanathan",null,M. A. M. Films,/wiki/Bhuvana_Oru_Kelvi_Kuri,Ilaiyaraaja,4,7.2
15,1977,Chakravarthy,Krishnan–Panju,"Jaishankar, Sharada, Sripriya, Srikanth, Thengai Srinivasan, Y. Vijaya",null,P. V. T. Productions,/wiki/Chakravarthy_(1977_film),V. Kumar,6,
16,1977,Chollu Kanna Chollu,T. N. Thirumalaisamy Nadar,,null,T. R. I. Films,/wiki/Chollu_Kanna_Chollu,Bose & Deva,1,5.3
17,1977,Deviyin Thirumanam,P. Madhavan,"R. Muthuraman, K. R. Vijaya, Prameela, Padmapriya",null,Santhi Chithra Productions,/w/index.php?title=Deviyin_Thirumanam&action=edit&redlink=1,M. S. Viswanathan,4,
18,1977,Dheepam,K. Vijayan,"Sivaji Ganesan, Sujatha, Vijayakumar, Sangeetha, Nagesh",null,Suresh Arts,/wiki/Dheepam,Ilaiyaraaja,5,5.9
19,1977,Durga Devi,Ra. Sankaran,"Sivakumar, Srividya",null,Devipriya Creations,/w/index.php?title=Durga_Devi_(film)&action=edit&redlink=1,Ilaiyaraaja,2,
20,1977,Ellam Avale,Amirtham,"M. K. Muthu, Vennira Aadai Nirmala, Chandrakala",null,Marina Movies,/w/index.php?title=Ellam_Avale&action=edit&redlink=1,M. S. Viswanathan,3,
21,1977,Enna Thavam Seithen,Krishnan–Panju,"Vijayakumar, Sujatha, Sathyapriya",null,Nalantha Movies,/w/index.php?title=Enna_Thavam_Seithen&action=edit&redlink=1,M. S. Viswanathan,3,
22,1977,Etharkkum Thuninthavan,M. Karnan,"Sivakumar, K. S. Jayalakshmi, Thengai Srinivasan",null,M. K. R. Pictures,/w/index.php?title=Etharkkum_Thuninthavan&action=edit&redlink=1,Sankar Ganesh,3,
23,1977,Gaslight Mangamma,N. S. Maniam,"Jaishankar, K. R. Vijaya, Srikanth, Shubha, Thengai Srinivasan",null,Maniam Pictures,/w/index.php?title=Gaslight_Mangamma&action=edit&redlink=1,M. S. Viswanathan,5,
24,1977,Gaayathri,R. Pattabiraman,"Jaishankar, Rajinikanth, Sridevi, Rajasulochana",null,Vijaya Meena Films,/wiki/Gaayathri,Ilaiyaraaja,4,6.5
25,1977,Ilaya Thalaimurai,Krishnan–Panju,"Sivaji Ganesan, Vanisri, Vijayakumar, Nagesh",null,Yoga Chitra Productions,/wiki/Ilaya_Thalaimurai,M. S. Viswanathan,4,
26,1977,Indru Pol Endrum Vaazhga,K. Shankar,"M. G. Ramachandran, Radha Saluja, Vijayakumar, Vennira Aadai Nirmala, Thengai Srinivasan",null,Subbu Productions,/wiki/Indru_Pol_Endrum_Vaazhga,M. S. Viswanathan,5,6.9
27,1977,Kalamadi Kalam,Gopu,"Jaishankar, Kavitha, Srikanth, Thengai Srinivasan, Sachu, Venniradai Moorthy, Manorama, P. R. Varalakshmi, Vijayasree, Lavanya",null,Rajapriya Productions,/w/index.php?title=Kalamadi_Kalam&action=edit&redlink=1,Vijaya Bhaskar,10,
28,1977,Kavikkuyil,Devaraj–Mohan,"Sivakumar, Sridevi, Fatafat Jayalaxmi, Rajinikanth",null,S. P. T. Films,/wiki/Kavikkuyil,Ilaiyaraaja,4,6.0
29,1977,Madhurageetham,V. C. Guhanathan,"Vijayakumar, Srividya, Sripriya, Suruli Rajan, Sachu",null,Sri Venkatalakshmi Productions,/w/index.php?title=Madhurageetham&action=edit&redlink=1,Chandrabose,5,
30,1977,Maamiyar Veedu,N. Krishnamurthy,"Jaishankar, Vennira Aadai Nirmala",null,Ramraj Movies,/w/index.php?title=Maamiyar_Veedu_(1977_film)&action=edit&redlink=1,M. S. Viswanathan,2,7.8
31,1977,Mazhai Megam,A. S. Prakasam,"R. Muthuraman, Sharada, Srikanth",null,Saradha Arts,/w/index.php?title=Mazhai_Megam&action=edit&redlink=1,"K. V. Mahadevan
      [திஞா]",3,
32,1977,Meenava Nanban,C. V. Sridhar,"M. G. Ramachandran, Latha, Vennira Aadai Nirmala, Nagesh, Thengai Srinivasan, Sachu",null,Muthu Enterprises,/wiki/Meenava_Nanban,M. S. Viswanathan,6,5.9
33,1977,Munnooru Naal,S. S. Devadas,"Thengai Srinivasan, P. R. Varalakshmi",null,Deva Art Films,/w/index.php?title=Munnooru_Naal&action=edit&redlink=1,,2,5.3
34,1977,Murugan Adimai,R. Thyagarajan,"R. Muthuraman, K. R. Vijaya, Vijayakumar, A. V. M. Rajan, Nagesh, Thengai Srinivasan, Jaya Guhanathan, A. Sakunthala",null,C. F. Trust,/wiki/Murugan_Adimai,K. V. Mahadevan,8,
35,1977,Naam Pirandha Mann,A. Vincent,"Sivaji Ganesan, Gemini Ganesan, K. R. Vijaya, Kamal Haasan, Fatafat Jayalaxmi, Nagesh",null,Vijaya Arts,/wiki/Naam_Pirandha_Mann,M. S. Viswanathan,6,5.3
36,1977,Nallathukku Kalamillai,T. N. Balu,"Jaishankar, Sripriya, Srikanth, Sukumari",null,Thozhilalar Films,/w/index.php?title=Nallathukku_Kalamillai&action=edit&redlink=1,Sankar Ganesh,4,
37,1977,Nandha En Nila,A. Jagannathan,"Vijayakumar, Sumithra, Fatafat Jayalaxmi",null,Ramya Cine Arts,/w/index.php?title=Nandha_En_Nila&action=edit&redlink=1,V. Dakshinamoorthy,3,
38,1977,Navarathinam,A. P. Nagarajan,"M. G. Ramachandran, Latha, Jayachitra, Sripriya, Zarina Wahab, Jaya Guhanathan, Y. Vijaya, Shubha, 'Kumari' Padmini, P. R. Varalakshmi",null,C. N. V. Movies,/wiki/Navarathinam,Kunnakudi Vaidyanathan,10,6.7
39,1977,Nee Vazha Vendum,A. Bhimsingh,"R. Muthuraman, Ravichandran, Bharathi, Sumithra, Nagesh",null,Fathima Amudha Combines,/w/index.php?title=Nee_Vazha_Vendum&action=edit&redlink=1,M. S. Viswanathan,5,
40,1977,Odi Vilayadu Thatha,T. N. Balu,"Srikanth, Sripriya, V. K. Ramasamy, Manorama, Suruli Rajan",null,K. P. K. Films,/w/index.php?title=Odi_Vilayadu_Thatha&action=edit&redlink=1,Ilaiyaraaja,5,
41,1977,Olimayamana Ethirkaalam,K. Krishnamurthy,"Vijayakumar, Sripriya, Sowcar Janaki",null,Sri Chitra Mahal Productions,/w/index.php?title=Olimayamana_Ethirkaalam&action=edit&redlink=1,Vijaya Bhaskar,3,
