,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,2004,Campus,Sharvi,"Sajith Raj, Nitesh, Divya Dwivedi, Sheetal Shah",null,null,/wiki/Campus_(film),4,Rajneesh,
2,2004,Kadhal Saregama,Ameerjan,Kaushik,null,null,,1,,7.5
3,2004,Ullathai Killathe,Vijay Kannan,"Suresh, Karan, Kushboo",null,null,/wiki/Ullathai_Killathe,3,"Deva,Deva",
4,2004,Engal Anna,Siddique,"Vijayakanth, Prabhu Deva, Swarnamalya, Namitha",null,null,/wiki/Engal_Anna,4,"Deva,Deva",5.3
5,2004,Jai,S. Narayan,"Prashanth, Anshu Ambani, Thyagarajan, Rajkiran",null,null,/wiki/Jai_(2004_Tamil_film),4,,4.2
6,2004,Kovil,Hari,"Silambarasan, Sonia Agarwal, Rajkiran, Nassar",null,null,/wiki/Kovil_(film),4,Harris Jayaraj,5.7
7,2004,Pudhukottaiyilirundhu Saravanan,S. S. Stanley,"Dhanush, Aparna Pillai",null,null,/wiki/Pudhukottaiyilirundhu_Saravanan,2,Yuvan Shankar Raja,3.8
8,2004,Virumaandi,Kamal Haasan,"Kamal Haasan, Abhirami, Napoleon, Pasupathy",null,null,/wiki/Virumaandi,4,Ilayaraaja,8.3
9,2004,Ennavo Pudichirukku,Meenakshi Sundaram,"Sudeep Sarangi, Bharani, Sindhuri",null,null,/wiki/Ennavo_Pudichirukku,3,Subhash Jawahar,
10,2004,Thendral,Thangar Bachan,"Parthiban, Uma",null,null,/wiki/Thendral_(film),2,"Vidyasagar,Vidyasagar",
11,2004,Vayasu Pasanga,Bharathi Kannan,"Anush, Jai Arvind, Master Manikandan, Vindhya",null,null,/wiki/Vayasu_Pasanga,4,R. K. Sundar,
12,2004,Kamaraj,A. Balakrishnan,"Richard Mathuram, Vijayan, V. S. Raghavan",null,null,/wiki/Kamaraj_(film),3,Ilayaraja,7.0
13,2004,Varnajalam,Nakulan Ponnusamy,"Srikanth, Sadha, Kutty Radhika",null,null,/wiki/Varnajalam,3,"Vidyasagar,Vidyasagar",5.3
14,2004,Autograph,Cheran,"Cheran, Sneha, Gopika, Mallika, Kanika",null,null,/wiki/Autograph_(2004_film),5,"Bharathwaj,Sabesh,Murali",7.7
15,2004,Kangalal Kaidhu Sei,Bharathiraja,"Vaseegaran, Priyamani",null,null,/wiki/Kangalal_Kaidhu_Sei,2,A. R. Rahman,5.5
16,2004,Adi Thadi,Shivraj,"Sathyaraj, Napoleon, Abbas, Rathi",null,null,/wiki/Adi_Thadi,4,"Deva,Deva",4.7
17,2004,Gambeeram,Suresh,"Sarath Kumar, Laila, Pranathi",null,null,/wiki/Gambeeram,3,Mani Sharma,4.4
18,2004,Nee Mattum,Mathi Natesh,"Jana, Deepu, Preethi",null,null,,3,,6.3
19,2004,Aarumugasaamy,Raviraja,"Pandiarajan, Preethi Varma",null,null,,2,,
20,2004,Pethi Solla Thattathea,Dharma,"Pandiarajan, Nanditha",null,null,,2,,
21,2004,Udhaya,Azhagam Perumal,"Vijay, Simran",null,null,/wiki/Udhaya,2,"A. R. Rahman,Pravin Mani",3.8
22,2004,Kadhal Dot Com,Selvaraj,"Prasanna, Anu Sasi, Shruthi Raj",null,null,/wiki/Kadhal_Dot_Com,3,Bharathwaj,
