,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1993,Aadhityan,V. L. Bashkaraaj,"R. Sarathkumar, Sukanya",null,Vellore Film Associates,/wiki/Aadhityan,2,Gangai Amaran,4.2
2,1993,Captain Magal,Bharathiraja,"Raja, Kushboo",null,Manoj Creations,/wiki/Captain_Magal,2,Hamsalekha,6.7
3,1993,Chinna Mapillai,Santhana Bharathi,"Prabhu, Sukanya, Sivaranjani",null,Amma Creations,/wiki/Chinna_Mapillai,3,Ilaiyaraaja,6.4
4,1993,Jathi Malli,K. Balachander,"Mukesh, Kushboo, Vineeth, Yuvarani",null,Kavithalayaa Productions,/wiki/Jathi_Malli,4,"M. M. Keeravani,Maragadha Mani",6.4
5,1993,Koyil Kaalai,Gangai Amaran,"Vijayakanth, Kanaka",null,Ambaal Pictures,/wiki/Koyil_Kaalai,2,Ilaiyaraaja,5.2
6,1993,Maamiyar Veedu,S. Ganesaraj,"Saravanan, Selva, Sithara, Nandhini",null,Karpaga Jothi Films,/wiki/Maamiyar_Veedu,4,Ilaiyaraaja,6.2
7,1993,Marupadiyum,Balu Mahendra,"Revathi, Arvind Swamy, Nizhalgal Ravi, Rohini",null,Ashwin International,/wiki/Marupadiyum,4,Ilaiyaraaja,7.3
8,1993,Mutrugai,Manobala,"Arun Pandian, Bhanupriya, Ranjitha",null,Sri Varalakshmi Cine Productions,/wiki/Mutrugai,3,Siddhartha,
9,1993,Walter Vetrivel,P. Vasu,"Sathyaraj, Sukanya, Ranjitha",null,Kamalam Movies,/wiki/Walter_Vetrivel,3,Ilaiyaraaja,6.2
10,1993,Chinna Kannamma,R. Raghu,"Karthik, Gautami, Suhasini, Nassar, Shamili",null,Geetha Chithra Combines,/wiki/Chinna_Kannamma,5,Ilaiyaraaja,6.6
11,1993,Dasarathan,Raja Krishnamoorthy,"R. Sarathkumar, Heera",null,Aalayam Productions,/wiki/Dasarathan,2,L. Vaidyanathan,
12,1993,En Idhaya Rani,S. S. Vikram,"Anand Babu, Geetharani",null,Anandham Movies,/wiki/En_Idhaya_Rani,2,S. S. Vikram,
13,1993,Rakkayi Koyil,Manivasagam,"Selva, Kasthuri",null,Anandhi Films,/wiki/Rakkayi_Koyil,2,Ilaiyaraaja,
14,1993,Manikuyil,Rajavarman,"Murali, Saradha Preetha",null,Yaghava Productions,/wiki/Manikuyil,2,,
