,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1976,Akka,Madurai Thirumaran,"K. R. Vijaya, Vijayakumar, Vijayabala, Jai Ganesh",null,Mathura Films,/wiki/Akka_(film),"M. S. Viswanathan
     [ திஞா]",4,
2,1976,Annakili,Devaraj–Mohan,"Sivakumar, Sujatha, Srikanth, Fatafat Jayalaxmi, Thengai Srinivasan",null,S. P. T. Films,/wiki/Annakili,"Ilaiyaraaja
     [திஞா]",5,7.0
3,1976,Asai 60 Naal,Durai,"Vijayakumar, Srividya, Y. Vijaya",null,Sri Uma Chitra Productions,/w/index.php?title=Asai_60_Naal&action=edit&redlink=1,"V. Kumar
   [திஞா]",3,
4,1976,Athirshtam Azhaikirathu,A. Jagannathan,"Srividya, Thengai Srinivasan, Jayasudha, Major Sundarrajan, Pandari Bai",null,J. M. Productions,/w/index.php?title=Athirshtam_Azhaikirathu&action=edit&redlink=1,V. Kumar,5,
5,1976,Bhadrakali,A. C. Tirulokchandar,"Sivakumar, Rani Chandra, Major Sundarrajan, Bhavani, Thengai Srinivasan, Manorama",null,Cine Bharath Productions,/wiki/Bhadrakali_(film),Ilaiyaraaja,6,6.1
6,1976,Chitra Pournami,P. Madhavan,"Sivaji Ganesan, Jayalalithaa, R. Muthuraman, C. R. Vijayakumari, Jayakumari, Nagesh",null,Sri Bhuvaneswari Movies,/wiki/Chitra_Pournami_(film),M. S. Viswanathan,6,6.1
7,1976,Dasavatharam,K. S. Gopalakrishnan,"Ravikumar, Gemini Ganesan, K. R. Vijaya, M. R. Radha, Sowcar Janaki, Jayachitra, Sripriya, Sridevi, Seerkazhi Govindarajan, Major Sundarrajan, Jaya Guhanathan, C. R. Vijayakumari",null,Brilliant Picture Corporation,/wiki/Dasavatharam_(film),S. Rajeswara Rao,12,6.4
8,1976,Gruhapravesam,D. Yoganand,"Sivaji Ganesan, K. R. Vijaya, Sivakumar, Jaya Guhanathan, A. Sakunthala",null,Prosperity Pictures,/wiki/Gruhapravesam_(1976_Tamil_film),M. S. Viswanathan,5,
9,1976,Idhaya Malar,Gemini Ganesan,"Gemini Ganesan, Sowcar Janaki, Kamal Haasan, Sujatha, Vijayakumar",null,Udhayam Productions,/wiki/Idhaya_Malar,M. S. Viswanathan,5,6.3
10,1976,Inspector Manaivi,S. Rajendra Babu,"R. Muthuraman, Jayachitra, Srikanth, Kumari Padmini",null,Chamundi Chitra Films,/w/index.php?title=Inspector_Manaivi&action=edit&redlink=1,"Sankar Ganesh
     [ திஞா]",4,6.0
11,1976,Ithu Ivargalin Kathai,T. P. Arunachalam,"Sivachandran, Amudha",null,Vinu Chitra Arts,/w/index.php?title=Ithu_Ivargalin_Kathai&action=edit&redlink=1,"A. M. Rajah
     (திஞா)",2,
12,1976,Janaki Sabadham,Avinashi Mani,"R. Muthuraman, K. R. Vijaya, Vijayakumar, Vennira Aadai Nirmala",null,K. R. G. Pictures,/w/index.php?title=Janaki_Sabadham&action=edit&redlink=1,V. Kumar,4,
13,1976,Kaalangalil Aval Vasantham,S. P. Muthuraman,"R. Muthuraman, Srividya, Chandrakala, Thengai Srinivasan",null,Vijaya Bhaskar Films,/wiki/Kaalangalil_Aval_Vasantham,"Vijaya Bhaskar
     [திஞா]",4,
14,1976,Kanavan Manaivi,A. Bhimsingh,"R. Muthuraman, Jayalalithaa, Srikanth",null,Sri Uma Chithra Combines,/wiki/Kanavan_Manaivi,V. Kumar,3,6.0
15,1976,Kula Gouravam,Peketi Sivaram,"R. Muthuraman, Jayanthi, Jayasudha, Thengai Srinivasan, Manorama",null,Balan Movies,/w/index.php?title=Kula_Gouravam&action=edit&redlink=1,"S. M. Subbaiah Naidu
        [திஞா]",5,7.2
16,1976,Kumaara Vijayam,A. Jagannathan,"Kamal Haasan, Jayachitra, V. K. Ramasamy, Thengai Srinivasan, Sukumari",null,Sri Murugalaya Movies,/wiki/Kumaara_Vijayam,"G. Devarajan
     [திஞா]",5,6.6
17,1976,Lalitha,Valampuri Somanathan,"Gemini Ganesan, Kamal Haasan, Sujatha, Pandari Bai, Sukumari",null,Girnar Films,/wiki/Lalitha_(film),M. S. Viswanathan,5,6.7
18,1976,Madhana Maaligai,K. Vijayan,"Sivakumar, Alka, Srikanth, Prameela, Manorama",null,N. V. R. Pictures,/w/index.php?title=Madhana_Maaligai&action=edit&redlink=1,"M. B. Sreenivasan
      [திஞா]",5,
19,1976,Maharasi Vazhga,Balamurugan,"K. R. Vijaya, Jai Ganesh, Jayasudha, Srikanth, Nagesh, Sukumari",null,Vijayambika Films,/w/index.php?title=Maharasi_Vazhga&action=edit&redlink=1,M. S. Viswanathan,6,
20,1976,Manamaara Vazhthungal,G. Subramaniam,"Jai Ganesh, Latha, Major Sundarrajan",null,Sri Naveenatha International,/w/index.php?title=Manamaara_Vazhthungal&action=edit&redlink=1,M. S. Viswanathan,3,
21,1976,Manmadha Leelai,K. Balachander,"Kamal Haasan, Aalam, Jaya Prada, Hema Chaudhary, Y. Vijaya",null,Kalakendra Movies,/wiki/Manmadha_Leelai,M. S. Viswanathan,5,7.5
22,1976,Mayor Meenakshi,Madurai Thirumaran,"Jaishankar, K. R. Vijaya, Cho, Thengai Srinivasan, Manorama",null,Abhirami Movies,/wiki/Mayor_Meenakshi,M. S. Viswanathan,5,
23,1976,Mittai Mummy,Avinashi Mani,"Jaishankar, K. R. Vijaya, A. Sakunthala",null,Rasi Productions,/w/index.php?title=Mittai_Mummy&action=edit&redlink=1,V. Kumar,3,9.2
24,1976,Mogam Muppadhu Varusham,S. P. Muthuraman,"Kamal Haasan, Vijayakumar, Sumithra, Sripriya, Fatafat Jayalaxmi",null,Swarnambika Productions,/wiki/Mogam_Muppadhu_Varusham,Vijaya Bhaskar,5,7.8
25,1976,Moondru Mudichu,K. Balachander,"Kamal Haasan, Sridevi, Rajinikanth",null,R. M. S. Productions,/wiki/Moondru_Mudichu,M. S. Viswanathan,3,7.1
26,1976,Mutthana Mutthullavo,R. Vittal,"R. Muthuraman, Sujatha, Jai Ganesh, Thengai Srinivasan, Pushpalatha",null,Vijayalakshmi Cine Arts,/w/index.php?title=Mutthana_Mutthullavo&action=edit&redlink=1,M. S. Viswanathan,5,
27,1976,Nalla Pennmani,A. Jagannathan,"R. Muthuraman, Srividya",null,S. V. J. Pictures,/w/index.php?title=Nalla_Pennmani&action=edit&redlink=1,V. Kumar,2,
28,1976,Nee Indri Naan Illai,A. C. Tirulokchandar,"Vijayakumar, Jayachitra",null,Thrilok Films,/w/index.php?title=Nee_Indri_Naan_Illai&action=edit&redlink=1,Sankar Ganesh,2,
29,1976,Nee Oru Maharani,K. Sornam,"Jaishankar, Sujatha, Sripriya, Thengai Srinivasan, Manorama",null,Suryalaya Combines,/w/index.php?title=Nee_Oru_Maharani&action=edit&redlink=1,Sankar Ganesh,5,
30,1976,Needhikku Thalaivanangu,P. Neelakantan,"M. G. Ramachandran, Latha, Pushpalatha, Roja Ramani, Thengai Srinivasan",null,Sri Umayambigai Productions,/wiki/Needhikku_Thalaivanangu,M. S. Viswanathan,5,6.5
31,1976,Ninaipadhu Niraiverum,S. T. Dhandapani,"Vijayakumar, Rajkokila",null,Thrimoorthy Arts,/w/index.php?title=Ninaipadhu_Niraiverum&action=edit&redlink=1,M. L. Srikanth,2,7.2
32,1976,Oh Manju,C. V. Sridhar,"Master Sekhar, Kavitha",null,Chitrodhaya Films,/w/index.php?title=Oh_Manju&action=edit&redlink=1,M. S. Viswanathan,2,
