,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,2008,Bheema,N. Linguswamy,"Vikram, Trisha Krishnan",Action,,/wiki/Bheema,2,,5.7
2,2008,Kaalai,Tarun Gopi,"Silambarasan Rajendar, Vedhika Kumar",Action,,/wiki/Kaalai,2,G. V. Prakash Kumar,4.3
3,2008,Pazhani,Perarasu,"Bharath, Kajal Aggarwal, Kushboo",Action,,/wiki/Pazhani_(2008_film),3,Srikanth Deva,3.4
4,2008,Pirivom Santhippom,Karu Pazhaniappan,"Cheran, Sneha",Family Drama,,/wiki/Pirivom_Santhippom,2,"Vidyasagar,Vidyasagar",6.2
5,2008,Vaazhthugal,Seeman,"R. Madhavan, Bhavana",Romance,,/wiki/Vaazhthugal,2,,4.5
6,2008,Pidichirukku,Kanagu,"Ashok, Vishakha Singh",Romance,,/wiki/Pidichirukku,2,Manu Ramesan,
7,2008,Pattaya Kelappu,Ponnambalam,"Sriman, Payal, Ponnambalam",,,/wiki/Pattaya_Kelappu,3,E. L. Indhrajith,
8,2008,Ashoka,Prem Menon,"Prem Menon, Anushree, Pooja Bharathi",Action,,/wiki/Ashoka_(2008_film),3,,
9,2008,Indiralohathil Na Azhagappan,Thambi Ramaiah,"Vadivelu, Yashimi Sharma, Suja Varunee",Comedy,,/wiki/Indiralohathil_Na_Azhagappan,3,"Sabesh,Murali",7.0
10,2008,Thangam,G. Kicha,"Sathyaraj, Meghna Nair, Goundamani",Action,,/wiki/Thangam,3,Srikanth Deva,
11,2008,Thodakkam,Muthukumar,"Rishi, Abhinay, Raghu Vannan, Monica, Meghna Nair",Thriller,,/wiki/Thodakkam,5,Jeyrom Pushparaj,4.4
12,2008,Sadhu Miranda,Siddique,"Prasanna, Abbas, Kavya Madhavan",Thriller,,/wiki/Sadhu_Miranda,3,,6.8
13,2008,Anjathe,Mysskin,"Narain, Ajmal Ameer, Prasanna, Vijayalakshmi",Action Thriller,,/wiki/Anjathe,4,Sundar C Babu,8.1
14,2008,Kadhal Kaditham,Mukesh,"Balaji, Amisha",Romance,,/wiki/Kadhal_Kaditham,2,V.S. Udhayaa,7.5
15,2008,Nenjathai Killadhe,Agathiyan,"Vikranth, Bharathi, Yugendran",Romance,,/wiki/Nenjathai_Killadhe_(2008_film),3,Premji Amaran,7.3
16,2008,Pachai Nirame,Karkki,"Yugendran, Saran Sathya, Rajasekar, Nanditha Jennifer, Preethi Varma",,,/wiki/Pachai_Nirame,5,Sreeram Selva,
17,2008,Akku,Mamani,"Ajay, Sriji, Rakshai, Anu Hasan, Riyaz Khan",Action Thriller,,/wiki/Akku_(film),5,Sriram,
18,2008,Thoondil,K. S. Adhiyaman,"Shaam, Sandhya, Divya Spandana",Romance,,/wiki/Thoondil,3,Abhishek Ray,5.5
19,2008,Valluvan Vasuki,Marumalarchi Bharathi,"Sathya, Swetha, Ranjith",Romance,,/wiki/Valluvan_Vasuki,3,S. A. Rajkumar,4.5
20,2008,Sila Nerangalil,Jayaraj,"Vincent Asokan, Navya Nair, Vineeth",Thriller,,/wiki/Sila_Nerangalil,3,Srikanth Deva,
21,2008,Thotta,Selva,"Jeevan, Priyamani",Action,,/wiki/Thotta,2,Srikanth Deva,4.2
22,2008,Vambu Sandai,Raj Kapoor,"Sathyaraj, Uday Kiran, Diya",Action,,/wiki/Vambu_Sandai,3,D. Imman,3.5
23,2008,Ezhuthiyatharadi,Sri Sathyaragaventher,"Ramana, Mansi Pritam, Swathi, Akhila",Romance,,/wiki/Ezhuthiyatharadi,4,,
24,2008,Ponmagal Vandhal,Ramamurthy,Pandiarajan,Drama,,/w/index.php?title=Ponmagal_Vandhal_(2008_film)&action=edit&redlink=1,1,,6.9
25,2008,Velli Thirai,Viji,"Prakash Raj, Prithviraj Sukumaran, Gopika",Drama,,/wiki/Velli_Thirai,3,,6.4
26,2008,Theekuchi,Yuvarajan,"Jai Varma, Menagai",Action,,/wiki/Theekuchi,2,Srikanth Deva,
27,2008,Unakkaga,Manoharan,"Riyaz Khan, Meghna Nair",Drama,,/wiki/Hai_(film),2,BJ Prakash,4.4
28,2008,Vaitheeswaran,R. K. Vidhyadaran,"Sarath Kumar, Meghna Naidu",Action,,/wiki/Vaitheeswaran,2,Srikanth Deva,
29,2008,Inba,Vendhan,"Shaam, Sneha",Action,,/wiki/Inba_(film),2,P. B. Balaji,
30,2008,Kannum Kannum,G. Marimuthu,"Prasanna, Udhayathara",Romance,,/wiki/Kannum_Kannum,2,Dhina,6.7
31,2008,Sandai,Sakthi Chidambaram,"Sundar C., Ramya Raj, Nadhiya, Namitha",Action,,/wiki/Sandai,4,Dhina,3.5
32,2008,Singakutty,A. Venkatesh,"Shivaji Dev, Gowri Munjal",Action,,/wiki/Singakutty,2,Prasanna Shekhar,
33,2008,Azhagu Nilayam,Rajaji,"Vindhiya, Swarnamalya",Action,,/wiki/Azhagu_Nilayam,2,"Sabesh,Murali",
34,2008,Kattuviriyan,Kalaipuli G. Sekharan,"Sajith Raj, Malavika, Ram",Thriller,,/wiki/Kattuviriyan,3,Sarangan,
35,2008,Tharagu,Kalanidhi,"Raj, Lakshana",Drama,,/w/index.php?title=Tharagu&action=edit&redlink=1,2,,6.3
