,year,title,director,cast,genre,producer,link,cast_size,music,imdb
58,1998,Uyirodu Uyiraga,Sushma Ahuja,"Ajith Kumar, Richa Ahuja",null,SS Films,/wiki/Uyirodu_Uyiraga,2,"Vidyasagar,Vidyasagar",5.0
59,1998,Kumbakonam Gopalu,Keyaar,"Pandiarajan, Mayuri",null,Prasath Art Productions,/wiki/Kumbakonam_Gopalu,2,Ilayaraja,5.1
60,1998,Kannathal,Bharathi Kannan,"Karan, Kushboo, Neena",null,Super Good Films,/wiki/Kannathal,3,Ilaiyaraaja,
61,1998,Pooveli,Selva,"Karthik, Abbas, Kausalya, Heera Rajagopal",null,Kavithalayaa Productions,/wiki/Pooveli,4,Bharathwaj,6.8
62,1998,Thalaimurai,Saravana Pandian,"Rajkiran, Bhanupriya, Revathi",null,Muthu Movies,/wiki/Thalaimurai,3,Ilayaraja,
63,1998,Ilamanasa Killathe,P. N. Seenivasan,"Latha, Shakeela",null,SS Art Combines,,2,,
64,1998,Thanga Magal,Ilayavan,"Ravi, Rukmini",null,My Dear Films,,2,,6.5
65,1998,Cheran Chozhan Pandian,Senthamizhan,"Ranjith, Mohini",null,K. C. R. Creations,/wiki/Cheran_Chozhan_Pandian,2,,
66,1998,Kaadhal Kavithai,Agathiyan,"Prashanth, Isha Koppikar, Kasthuri",null,Metro Film Corporation,/wiki/Kaadhal_Kavithai,3,Ilaiyaraaja,5.7
67,1998,Sivappu Nila,J. George Prasad,"Raja, Vineetha",null,Velankanni Cine Arts,/wiki/Sivappu_Nila_(1998_film),2,"Deva,Deva",6.8
68,1998,Bhagavath Singh,A. C. Chandrakumar,"Napoleon, Sanghavi",null,Kavikuyil Cine Arts,/wiki/Bhagavath_Singh_(1998_film),2,"Deva,Deva",8.1
