,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1974,Akkarai Pachai,N. Venkatesh,"Jaishankar, Ravichandran, Nagesh, Lakshmi, Jayachitra, Savitri",null,Yoga Chithra Productions,/w/index.php?title=Akkarai_Pachai&action=edit&redlink=1,M. S. Viswanathan,6,
2,1974,Anbai Thedi,V. Srinivasan,"Sivaji Ganesan, Jayalalithaa, Major Sundarrajan, C. R. Vijayakumari, Shubha, Cho, Manorama",null,Muktha Films,/wiki/Anbai_Thedi,M. S. Viswanathan,7,6.6
3,1974,Anbu Thangai,S. P. Muthuraman,"R. Muthuraman, Jayalalithaa, Jaya, Srikanth, K. A. Thangavelu",null,Gowri Art Enterprises,/wiki/Anbu_Thangai,K. V. Mahadevan,5,7.6
4,1974,Appa Amma,Maa. Raa.,"Gemini Ganesan, Padmini, Ravichandran, Sheela",null,K. S. SithambaramSimham Productions,/w/index.php?title=Appa_Amma&action=edit&redlink=1,Shyam,4,
5,1974,Athaiya Mamiya,Gopu,"Jaishankar, Ushanandini, Nagesh, Thengai Srinivasan, Manorama, Srikanth, M. N. Rajam, Kumari Padmini, Venniradai Moorthy, Sachu",null,Garuda Films,/wiki/Athaiya_Mamiya,M. S. Viswanathan,10,5.2
6,1974,Aval Oru Thodar Kathai,K. Balachander,"Sujatha, Kamal Haasan, Vijayakumar, Fatafat Jayalaxmi, Jai Ganesh, M. G. Soman, Sripriya",null,Arul Films,/wiki/Aval_Oru_Thodar_Kathai,M. S. Viswanathan,7,7.3
7,1974,Avalukku Nigar Avale,Madurai Thirumanam,"Ravichandran, Vennira Aadai Nirmala, Kalyan Kumar, Thengai Srinivasan, Pushpalatha, Manorama",null,Sri Ravipriya Films,/w/index.php?title=Avalukku_Nigar_Avale&action=edit&redlink=1,V. Kumar,6,4.3
8,1974,Avalum Penn Thaane,Durai,"R. Muthuraman, Sumithra, Thengai Srinivasan, Manorama, Rama Prabha",null,Sri Panduranga Productions,/wiki/Avalum_Penn_Thaane,V. Kumar,5,
9,1974,Devi Sri Karumari Amman,Vietnam Veedu Sundaram,"K. R. Vijaya, Gemini Ganesan, Kumari Padmini, Major Sundarrajan, S. Varalakshmi, Pushpalatha, K. A. Thangavelu, Cho, Suruli Rajan, Manorama, Vijayakumar, Shashikumar, Sriranjani Jr., Lalitha Sri",null,Anu Combines,/w/index.php?title=Devi_Sri_Karumari_Amman&action=edit&redlink=1,Sankar Ganesh,14,4.3
10,1974,Dhaagam,Babu Nanthancode,"R. Muthuraman, Nanditha Bose, Major Sundarrajan, Rajakokila, Pandari Bai",null,Kavya Chithra Productions,/wiki/Dhaagam,M. B. Sreenivasan,5,6.3
11,1974,Dheerga Sumangali,A. C. Tirulokchandar,"K. R. Vijaya, R. Muthuraman, Major Sundarrajan, Pushpalatha, Sivakumar, Jayasudha, Suruli Rajan, Y. G. Mahendra",null,Visalakshi Combines,/wiki/Dheerga_Sumangali,M. S. Viswanathan,8,
12,1974,Doctoramma,Sornam,"A. V. M. Rajan, Manjula, Thengai Srinivasan",null,Meenakshi Art Productions,/w/index.php?title=Doctoramma&action=edit&redlink=1,Sankar Ganesh,3,
13,1974,Dikkatra Parvathi,Singeetham Srinivasa Rao,"Lakshmi, Srikanth, Y. G. Mahendran",null,Navatharang Productions,/wiki/Dikkatra_Parvathi,Chitti Babu,3,
