,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1971,Aathi Parasakthi,K. S. Gopalakrishnan,"Gemini Ganesan, Jayalalithaa, Padmini, R. Muthuraman, S. V. Ranga Rao, S. Varalakshmi, Vanisri, Rajasree, Vennira Aadai Nirmala, S. V. Subbaiah, Sridevi",null,Chitra Productions,/wiki/Aathi_Parasakthi,K. V. Mahadevan,11,6.1
2,1971,Anbukkor Annan,N. S. Maniam,"Gemini Ganesan, Jaishankar, Vennira Aadai Nirmala, Srividya",null,Karuna Films,/w/index.php?title=Anbukkor_Annan&action=edit&redlink=1,M. S. Viswanathan,4,
3,1971,Annai Velankanni,K. Thangappan,"Gemini Ganesan, Jayalalithaa, Padmini, K. R. Vijaya, R. Muthuraman, Devika, Nagesh, Thengai Srinivasan, Manorama, Sachu, Sivakumar, Srividya",null,Giri Movies,/wiki/Annai_Velankanni,G. Devarajan,12,7.2
4,1971,Arunodhayam,V. Srinivasan,"Sivaji Ganesan, B. Saroja Devi, R. Muthuraman, Lakshmi, Cho, Manorama",null,Muktha Films,/wiki/Arunodhayam,K. V. Mahadevan,6,
5,1971,Arutperunjothi,A. T. Krishnaswamy,"Master Sridhar, A. P. Nagarajan, K. A. Thangavelu, M. Saroja, Devaki",null,Balu Films,/w/index.php?title=Arutperunjothi&action=edit&redlink=1,T. R. Pappa,5,
6,1971,Avalukendru Oru Manam,C. V. Sridhar,"Gemini Ganesan, Bharathi, Kanchana, R. Muthuraman",null,Chithralaya Films,/wiki/Avalukendru_Oru_Manam,M. S. Viswanathan,4,6.8
7,1971,Babu,A. C. Tirulokchandar,"Sivaji Ganesan, Sowcar Janaki, K. Balaji, Nagesh, Sivakumar, Vennira Aadai Nirmala, Vijayasree",null,Cine Bharath Productions,/wiki/Babu_(1971_film),M. S. Viswanathan,7,6.1
8,1971,Deivam Pesuma,Chinni Sampath,"A. V. M. Rajan, Vennira Aadai Nirmala, Sandhya Rani, Thengai Srinivasan",null,Bhanu Chitra Productions,/w/index.php?title=Deivam_Pesuma&action=edit&redlink=1,Sankar Ganesh,4,
9,1971,Iru Thuruvam,S. Ramanathan,"Sivaji Ganesan, Padmini, R. Muthuraman, Nagesh, Rajasree",null,P. S. V. Pictures,/wiki/Iru_Thuruvam,M. S. Viswanathan,5,5.9
10,1971,Irulum Oliyum,S. R. Puttanna,"Vanisri, A. V. M. Rajan, R. Muthuraman, Nagesh, Rama Prabha",null,Producers Combine,/wiki/Irulum_Oliyum,K. V. Mahadevan,5,
11,1971,Justice Viswanathan,G. R. Nathan,"Ravichandran, Major Sundarrajan, C. I. D. Sakunthala, Manimala, Thengai Srinivasan, Manorama",null,Modern Theatres,/wiki/Justice_Viswanathan,Vedha,6,
12,1971,Kankaatchi,A. P. Nagarajan,"Sivakumar, 'Kumari' Padmini, K. D. Santhanam, 'Kallapart' Natarajan, A. Sakunthala, Suruli Rajan, Manorama",null,Sri Vijayalakshmi Pictures,/w/index.php?title=Kankaatchi&action=edit&redlink=1,Kunnakudi Vaidyanathan,7,6.6
13,1971,Kettikaran,H. S. Venu,"Jaishankar, Leela, Jayakumari, Nagesh",null,Dhandayuthapani Films,/w/index.php?title=Kettikaran&action=edit&redlink=1,Sankar Ganesh,4,
14,1971,Kulama Gunama,K. S. Gopalakrishnan,"Sivaji Ganesan, Jaishankar, Padmini, Vanisri, Nagesh",null,Aazam Arts,/wiki/Kulama_Gunama,K. V. Mahadevan,5,6.1
15,1971,Kumari Kottam,P. Neelakantan,"M. G. Ramachandran, Jayalalithaa, Lakshmi, Cho, Sachu",null,Kay Cee Films,/wiki/Kumari_Kottam,M. S. Viswanathan,5,6.8
16,1971,Meendum Vazhven,T. N. Balu,"Ravichandran, Bharathi, Vijaya Lalitha, Nagesh",null,Rani Production,/wiki/Meendum_Vazhven,M. S. Viswanathan,4,
17,1971,Muhammad bin Tughluq,Cho,"Cho, Manorama, Sukumari, G. Sakunthala",null,Prestige Productions,/wiki/Muhammad_bin_Tughluq_(film),M. S. Viswanathan,4,7.7
18,1971,Moondru Dheivangal,Dada Mirasi,"Sivaji Ganesan, R. Muthuraman, Nagesh, Sivakumar, Chandrakala",null,Sri Bhuvaneswari Movies,/wiki/Moondru_Dheivangal,M. S. Viswanathan,5,6.7
19,1971,Naangu Suvargal,K. Balachander,"Jaishankar, Ravichandran, Nagesh, Sowcar Janaki, Vanisri, Vijaya Lalitha, Srividya",null,Screen Entertainment,/wiki/Naangu_Suvargal,M. S. Viswanathan,7,
