,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1967,Aalayam,Thirumalai Mahalingam,"Major Sundarrajan, Srikanth, Nagesh",null,Sunbeam Productions,/wiki/Aalayam_(film),T. K. Ramamoorthy,3,
2,1967,Anubavam Pudhumai,C. V. Rajendran,"R. Muthuraman, Rajasree, T. R. Ramachandran",null,Thirumagal Combines,/wiki/Anubavam_Pudhumai,M. S. Viswanathan,3,
3,1967,Anubavi Raja Anubavi,K. Balachander,"Nagesh, R. Muthuraman, Rajasree, Jayabharathi",null,Ayya Films,/wiki/Anubavi_Raja_Anubavi,M. S. Viswanathan,4,7.1
4,1967,Apoorva Piravigal[3],G. Viswanatham,"T. L. Kantha Rao, Vanisree",null,Lakshmi Saraswathi Movies,/w/index.php?title=Apoorva_Piravigal&action=edit&redlink=1,,2,5.8
5,1967,Arasa Kattalai,M. G. Chakrapani,"M. G. Ramachandran, B. Saroja Devi, Jayalalithaa",null,Sathyaraja Pictures,/wiki/Arasa_Kattalai,K. V. Mahadevan,3,6.4
6,1967,Adhey Kangal,A. C. Tirulokchandar,"Ravichandran, Kanchana, Nagesh",null,AVM Productions,/wiki/Adhey_Kangal,Vedha,3,7.5
7,1967,Bhakta Prahlada,CH. Narayana Moorthy,"S. V. Ranga Rao, Anjali Devi, Roja Ramani",null,AVM Productions,/wiki/Bhakta_Prahlada_(1967_film),S. Rajeswara Rao,3,6.8
8,1967,Bama Vijayam,K. Balachander,"Sowcar Janaki, R. Muthuraman, Nagesh, Rajasree, Kanchana",null,Manohar Productions,/wiki/Bama_Vijayam_(1967_film),M. S. Viswanathan,5,7.4
9,1967,Bhavani,T. R. Ramanna,"Jaishankar, S. A. Ashokan, C. R. Vijayakumari, Vanisri, Nagesh",null,Anna Productionss,/w/index.php?title=Bhavani_(film)&action=edit&redlink=1,M. S. Viswanathan,5,
10,1967,Deiva Cheyal,M. G. Balu,"Major Sundarrajan, R. Muthuraman, Bharathi",null,Dhandayuthapani Films,/wiki/Deiva_Cheyal,R. Diwakar,3,
11,1967,Ethirigal Jakkirathai,R. Sundaram,"Ravichandran, R. S. Manohar, L. Vijayalakshmi",null,Modern Theatres,/wiki/Ethirigal_Jakkirathai,Vedha,3,
12,1967,Engalukkum Kaalam Varum,A. Vincent,"Gemini Ganesan, Padmini, Madhu, Nagesh",null,Pauls & Company,/w/index.php?title=Engalukkum_Kaalam_Varum_(1967_film)&action=edit&redlink=1,T. K. Ramamoorthy,4,
13,1967,Iru Malargal,A. C. Tirulokchandar,"Sivaji Ganesan, Padmini, K. R. Vijaya",null,Manijeh Cine Productions,/wiki/Iru_Malargal,M. S. Viswanathan,3,6.9
14,1967,Kadhalithal Podhuma,K. V. Srinivas,"Jaishankar, Vanisri, Vennira Aadai Nirmala",null,Modern Theatres,/wiki/Kadhalithal_Podhuma,Vedha,3,
15,1967,Kan Kanda Deivam,K. S. Gopalakrishnan,"Padmini, S. V. Ranga Rao, Nagesh",null,Kamaal Brothers,/wiki/Kan_Kanda_Deivam,K. V. Mahadevan,3,
16,1967,Kandhan Karunai,A. P. Nagarajan,"Sivaji Ganesan, Gemini Ganesan, Savitri, K. R. Vijaya, Jayalalithaa",null,A. L. S. Productions,/wiki/Kandhan_Karunai,K. V. Mahadevan,5,7.1
17,1967,Karpooram,C. N. Shanmugham,"A. V. M. Rajan, Pushpalatha, Cho, Manorama",null,Sashti Films,/wiki/Karpooram,D. B. Ramachandran,4,7.1
18,1967,Kaavalkaaran,P. Neelakantan,"M. G. Ramachandran, Jayalalithaa, Sivakumar",null,Sathya Movies,/wiki/Kaavalkaaran,M. S. Viswanathan,3,7.1
19,1967,Maadi Veettu Mappilai,S. K. A. Chari,"Ravichandran, Jayalalithaa, Major Sundarrajan, Nagesh",null,Prasad Art Pictures,/wiki/Maadi_Veettu_Mappilai,K. V. Mahadevan,4,6.3
20,1967,Magaraasi,M. A. Thirumugam,"Ravichandran, Jayalalithaa",null,Dhandayuthapani Films,/wiki/Magaraasi,Sankar Ganesh,2,5.8
21,1967,Manam Oru Kurangu,A. T. Krishnaswamy,"R. Muthuraman, A. V. M. Rajan, K. R. Vijaya, Cho, T. S. Balaiah, Vijaya Rani",null,Sashti Films,/wiki/Manam_Oru_Kurangu,D. B. Ramachandran,6,
22,1967,Muhurtha Naal,P. Madhavan,"Jaishankar, K. R. Vijaya, R. Muthuraman",null,Arun Prasad Movies,/w/index.php?title=Muhurtha_Naal&action=edit&redlink=1,K. V. Mahadevan,3,5.9
23,1967,Naan,T. R. Ramanna,"Ravichandran, Jayalalithaa, R. Muthuraman",null,Sri Vinayaka Pictures,/wiki/Naan_(1967_film),T. K. Ramamoorthy,3,7.1
24,1967,Naan Yaar Theriyuma,V. V. Ramanan,"Jaishankar, Bharathi, M. A. Radhika, Cho",null,Navasakthi Films,/w/index.php?title=Naan_Yaar_Theriyuma&action=edit&redlink=1,Sankar Ganesh,4,
25,1967,Nenjirukkum Varai,C. V. Sridhar,"Sivaji Ganesan, K. R. Vijaya, R. Muthuraman",null,Chithralaya Productions,/wiki/Nenjirukkum_Varai_(1967_film),M. S. Viswanathan,3,7.5
26,1967,Ninaivil Nindraval,V. Srinivasan,"Ravichandran, K. R. Vijaya, Cho",null,Muktha Films,/wiki/Ninaivil_Nindraval_(1967_film),V. Kumar,3,7.0
27,1967,Ooty Varai Uravu,C. V. Sridhar,"Sivaji Ganesan, K. R. Vijaya, R. Muthuraman, L. Vijayalakshmi",null,K. C. Films,/wiki/Ooty_Varai_Uravu,M. S. Viswanathan,4,7.9
28,1967,Paaladai,A. Bhimsingh,"Sivaji Ganesan, Padmini, K. R. Vijaya",null,Kamala Pictures,/wiki/Paaladai,K. V. Mahadevan,3,
29,1967,Pandhyam,A. Kasilingam,"Gemini Ganesan, A. V. M. Rajan, Vijaya Nirmala, Shylashri",null,M. K. Movies,/wiki/Pandhayam_(1967_film),T. R. Pappa,4,7.1
30,1967,Pattanathil Bhootham,M. V. Raman,"Jaishankar, K. R. Vijaya, Nagesh, Vijaya Lalitha",null,Saradha Productions,/wiki/Pattanathil_Bhootham,R. Govardhanam,4,7.2
31,1967,Pattathu Rani,S. Ramanathan,"Gemini Ganesan, Kalpana, P. Banumathi",null,Sunbeam Productions,/w/index.php?title=Pattathu_Rani&action=edit&redlink=1,T. K. Ramamoorthy,3,
32,1967,Pen Endral Pen,Aroor Das,"Gemini Ganesan, B. Sarojadevi, C. R. Vijayakumari",null,A. L. S. Productions,/w/index.php?title=Pen_Endral_Pen&action=edit&redlink=1,M. S. Viswanathan,3,
33,1967,Penne Nee Vazhga,P. Madhavan,"Jaishankar, K. R. Vijaya, Nagesh",null,Vijaya Chitra,/w/index.php?title=Penne_Nee_Vazhga&action=edit&redlink=1,K. V. Mahadevan,3,
34,1967,Pesum Dheivam,K. S. Gopalakrishnan,"Sivaji Ganesan, Padmini, Sowcar Janaki, Nagesh",null,Ravi Productionss,/wiki/Pesum_Dheivam,K. V. Mahadevan,4,6.4
35,1967,Ponnana Vazhvu,R. Devarajan,"Jaishankar, K. R. Vijaya",null,Poomalar Productions,/w/index.php?title=Ponnana_Vazhvu&action=edit&redlink=1,K. V. Mahadevan,2,
36,1967,Raja Veetu Pillai,Dada Mirasi,"Jaishankar, Jayalalithaa, Pushpalatha, Thengai Srinivasan",null,Mohan Productions,/wiki/Raja_Veetu_Pillai,S. M. Subbaiah Naidu,4,6.7
37,1967,Rajathi,M. Lakshmanan,"R. Muthuraman, Udaya Chandrika",null,Associated Artistes,/w/index.php?title=Rajathi_(1967_film)&action=edit&redlink=1,K. V. Mahadevan,2,6.7
38,1967,Seetha,A. P. Nagarajan,"Gemini Ganesan, Savitri, R. Muthuraman, K. R. Vijaya",null,Rajalakshmi Pictures,/wiki/Seetha_(1967_film),K. V. Mahadevan,4,
39,1967,Selva Magal,K. V. Srinivasan,"Jaishankar, Rajasree, Nagesh",null,Saravana Screens,/wiki/Selva_Magal,M. S. Viswanathan,3,
40,1967,Sabash Thambi,C. P. Jambulingham,"Jaishankar, Nagesh, L. Vijayalakshmi",null,Balan Pictures,/wiki/Sabash_Thambi,S. M. Subbaiah Naidu,3,
41,1967,Sri Krishnavatharam,K. Kameshwara Rao,"N. T. Rama Rao, Devika, Kanchana",null,Tarakarma Pictures,/wiki/Shri_Krishnavataram,T. V. Raju,3,7.5
42,1967,Sundaramurthi Nayanar,K. Somu,"Pandarinath, Jothi Lakshmi, Kumari Radha",null,Kandhaswamy Productions,/w/index.php?title=Sundaramurthi_Nayanar_(1967_film)&action=edit&redlink=1,S. M. Subbaiah Naidu,3,7.1
43,1967,Thaikku Thalaimagan,M. A. Thirumugam,"M. G. Ramachandran, Jayalalithaa, S. A. Ashokan, Sowcar Janaki",null,Devar Films,/wiki/Thaikku_Thalaimagan,K. V. Mahadevan,4,6.5
44,1967,Thanga Thambi,S. K. A. Chari,"Major Sundarrajan, Ravichandran, Vanisri, Bharathi",null,Prasad Art Pictures,/wiki/Thanga_Thambi,T. Chalapathi Rao,4,
45,1967,Thangai,A. C. Tirulokchandar,"Sivaji Ganesan, K. R. Vijaya, Kanchana, K. Balaji, Nagesh",null,Sujatha Cine Arts,/wiki/Thangai,M. S. Viswanathan,5,5.9
46,1967,Thiruvarutchelvar,A. P. Nagarajan,"Sivaji Ganesan, Gemini Ganesan, Savitri, Padmini, R. Muthuraman, K. R. Vijaya",null,Sri Vijayalakshmi Pictures,/wiki/Thiruvarutchelvar,K. V. Mahadevan,6,7.3
47,1967,Uyir Mel Aasai,C. P. Jambulingham,"Jaishankar, L. Vijayalakshmi, K. B. Sundarambal",null,Ayyappan Productions,/wiki/Uyir_Mel_Aasai,S. M. Subbaiah Naidu,3,
48,1967,Valiba Virundhu,Murasoli Maran,"Ravichandran, Bharathi, Nagesh",null,Mekala Pictures,/wiki/Valiba_Virundhu,R. Sudharsanam,3,
49,1967,Vivasayee,M. A. Thirumugam,"M. G. Ramachandran, K. R. Vijaya, C. R. Vijayakumari",null,Devar Films,/wiki/Vivasayee,K. V. Mahadevan,3,
