,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1978,Achchani,Devaraj–Mohan,"R. Muthuraman, Lakshmi, Shoba",null,Mahalakshmi Combines,/wiki/Achchani,Ilaiyaraaja,3,
2,1978,Adhirstakaran,Venunath,"Nagesh, Fatafat Jayalaxmi, V. K. Ramasamy, A. Sakunthala, Sukumari",null,Soundhara Combines,/w/index.php?title=Adhirstakaran&action=edit&redlink=1,M. S. Viswanathan,5,7.5
3,1978,Agni Pravesam,K. Narayanan,"Srikanth, Padmapriya",null,United Combines,/w/index.php?title=Agni_Pravesam&action=edit&redlink=1,M. S. Viswanathan,2,
4,1978,Alli Darbar,K. M. Balakrishnan,"Vijayakumar, Manjula, Cho",null,Aiyaa Creations,/wiki/Alli_Darbar,Sankar Ganesh,3,6.2
5,1978,Anantha Bairavi,Mohan Gandhiram,"Ravichandran, K. R. Vijaya, Jayadevi",null,Sreevidhya Productions,/w/index.php?title=Anantha_Bairavi&action=edit&redlink=1,R. Ramanujam,3,6.8
6,1978,Andaman Kadhali,V. Srinivasan,"Sivaji Ganesan, Sujatha, Chandra Mohan, Kavitha",null,Muktha Films,/wiki/Andaman_Kadhali,M. S. Viswanathan,4,6.5
7,1978,Annapoorani,Krishnan–Panju,"R. Muthuraman, K. R. Vijaya",null,Vijayambika Films,/w/index.php?title=Annapoorani&action=edit&redlink=1,V. Kumar,2,
8,1978,Athaivida Ragasiyam,Kiruba Shankar,"Sivakumar, K. S. Jayalakshmi, Jai Ganesh, Suma, S. V. Subbaiah",null,Arumugam Enterprises,/w/index.php?title=Athaivida_Ragasiyam&action=edit&redlink=1,Sankar Ganesh,5,5.2
9,1978,Aval Appadithan,C. Rudhraiya,"Kamal Haasan, Rajinikanth, Sripriya",null,Kumar Arts,/wiki/Aval_Appadithan,Ilaiyaraaja,3,7.5
10,1978,Aval Oru Adhisayam,B. V. Srinivasan,"Jaishankar, Y. Vijaya",null,Suchitra Films,/w/index.php?title=Aval_Oru_Adhisayam&action=edit&redlink=1,Vijaya Bhaskar,2,7.5
11,1978,Aval Oru Pachai Kuzhandhai,S. C. Sekhar,"Vijayakumar, Bhavani",null,Annai Vallankanni Creations,/w/index.php?title=Aval_Oru_Pachai_Kuzhandhai&action=edit&redlink=1,Ilaiyaraaja,2,
12,1978,Aval Thandha Uravu,Durai,"R. Muthuraman, Sharada",null,M. N. S. Enterprises,/w/index.php?title=Aval_Thandha_Uravu&action=edit&redlink=1,M. S. Viswanathan,2,
13,1978,Aayiram Jenmangal,Durai,"Padmapriya, Latha, Vijayakumar, Rajinikanth",null,Pallavi Enterprises,/wiki/Aayiram_Jenmangal,M. S. Viswanathan,4,5.5
14,1978,Bairavi,M. Bhaskar,"Rajinikanth, Sripriya, Geetha",null,Vallivelan Movies,/wiki/Bairavi,Ilaiyaraaja,3,6.8
15,1978,Chittu Kuruvi,Devaraj–Mohan,"Sivakumar, Sumithra, Meera",null,Sri Vishnupriya Creations,/wiki/Chittu_Kuruvi,Ilaiyaraaja,3,6.7
16,1978,En Kelvikku Enna Bathil,P. Madhavan,"Rajinikanth, Vijayakumar, Sripriya, Vijaya Chandrika",null,Abhirami Creations,/wiki/En_Kelvikku_Enna_Bathil,M. S. Viswanathan,4,5.5
17,1978,Ennai Pol Oruvan,T. R. Ramanna,"Sivaji Ganesan, Sharada, Ushanandini",null,Sri Vinayaga Pictures,/wiki/Ennai_Pol_Oruvan,M. S. Viswanathan,3,6.5
