,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1982,Adhisayappiravigal,R. Thyagarajan,"Karthik, Jaishankar, Prabhu, Radha, Rajyalakshmi, Y. G. Mahendra, Vanitha, S. Ve. Shekher, Silk Smitha",null,Devar Films,/wiki/Adhisayappiravigal,Sankar Ganesh,9,
2,1982,Agaya Gangai,Manobala,"Karthik, Suhasini, Goundamani",null,Sreeni Enterprises,/wiki/Agaya_Gangai_(film),Ilayaraja,3,5.7
3,1982,Agni Sakshi,K. Balachander,"Sivakumar, Saritha, Swapna",null,Kavithalayaa Productions,/wiki/Agni_Sakshi_(1982_film),M. S. Viswanathan,3,6.9
4,1982,Amma,Rajasekhar,"Pratap K. Pothen, Saritha",null,AVM Productions,/w/index.php?title=Amma_(1982_film)&action=edit&redlink=1,Sankar Ganesh,2,
5,1982,Anandha Ragam,Bharani,"Sivakumar, Radha, Aruna, Goundamani",null,Panchu Arts,/wiki/Anandha_Ragam,Ilaiyaraaja,4,6.1
6,1982,Antha Rathirikku Satchi Illai,R. Sundarrajan,"Kapildev, Sivachandran, Sulakshana, Vanitha, Usha Rajendar",null,K. R. G. Art Productions,/wiki/Antha_Rathirikku_Satchi_Illai,K. V. Mahadevan,5,
7,1982,Anu,P. N. Menon,"Jaya Devi, Raja, S. S. R. Rajendrakumar",null,T. R. M. Creations,/w/index.php?title=Anu_(1982_film)&action=edit&redlink=1,M. S. Viswanathan,3,
8,1982,Archanai Pookal,Gokula Krishnan,"Chandrasekhar, Mohan, Rajyalakshmi, Subhathra",null,Bagavathi Creations,/wiki/Archanai_Pookal,Ilaiyaraaja,4,
9,1982,Asthivaram,T. Thirunavukarasu,"Jaishankar, K. R. Vijaya, Vanitha",null,Kar Creation,/w/index.php?title=Asthivaram&action=edit&redlink=1,Sankar Ganesh,3,
10,1982,Auto Raja,K. Vijayan,"Vijayakanth, Jaishankar, Gayathri, Vanitha",null,Santosh Art Films,/wiki/Auto_Raja_(1982_film),IlaiyaraajaSankar Ganesh,4,
11,1982,Aval Etriya Deepam,P. Bhanumathi,"P. Bhanumathi, Sarath Babu",null,Bharani Pictures,/w/index.php?title=Aval_Etriya_Deepam&action=edit&redlink=1,,2,7.5
12,1982,Avanuku Nigar Avane,M. Karnan,"Suman, Madhan Kumar, Vasantha, Swetha",null,Indhrani Films,/w/index.php?title=Avanuku_Nigar_Avane&action=edit&redlink=1,Sankar Ganesh,4,
13,1982,Ayiram Muthangal,S. Devarajan,"Sivakumar, Radha, Y. G. Mahendra, Charuhasan, Silk Smitha, Vanitha",null,Vivekanandha Pictures,/wiki/Ayiram_Muthangal,Sankar Ganesh,6,
14,1982,Azhagiya Kanne,J. Mahendran,"Sarath Babu, Sumalatha, Suhasini, Baby Anju",null,Southern Creations,/wiki/Azhagiya_Kanne,Ilaiyaraaja,4,5.8
15,1982,Boomboom Maadu,Adaikalavan,"Chandrasekhar, Madhuri",null,A. N. N. Movies,/w/index.php?title=Boomboom_Maadu&action=edit&redlink=1,Sankar Ganesh,2,
16,1982,Chinnan Chirusugal,Rama Narayanan,"Mohan, Sulakshana, Prabhu, Silk Smitha",null,Sri Thenandal Films,/wiki/Chinnan_Chirusugal,K. V.  Mahadevan,4,
17,1982,"Darling, Darling, Darling",K. Bhagyaraj,"K. Bhagyaraj, Poornima Jayaram, Suman, Aruna, Baby Anju",null,Vigranth Creation,"/wiki/Darling,_Darling,_Darling",Sankar Ganesh,5,6.7
18,1982,Deviyin Thiruvilaiyadal,K. S. Gopalakrishnan,"K. R. Vijaya, Sridevi, Thiagarajan",null,Revathi Cine Arts,/w/index.php?title=Deviyin_Thiruvilaiyadal&action=edit&redlink=1,M. S. Viswanathan,3,4.3
19,1982,Echchil Iravugal,A. S. Pragasam,"Pratap K. Pothen, Raveendran, Roopa, Vanitha",null,New Wavers Arts,/wiki/Echchil_Iravugal,Ilaiyaraaja,4,
20,1982,Eera Vizhi Kaaviyangal,B. R. Ravishankar,"Sarath Babu, Pratap K. Pothen, Raadhika",null,R. V. Cinemas,/wiki/Eera_Vizhi_Kaaviyangal,Ilaiyaraaja,3,5.8
21,1982,Enkeyo Ketta Kural,S. P. Muthuraman,"Rajinikanth, Ambika, Radha",null,P. A. Art Productions,/wiki/Enkeyo_Ketta_Kural,Ilaiyaraaja,3,7.4
22,1982,Erattai Manithan,K. Shankar,"S. S. Rajendran, Jaiganesh, Latha, Sumithra, Bhavani, V. K. Ramasamy, Manorama",null,Maruthapandiyan Pictures,/wiki/Erattai_Manithan,M. S. Viswanathan,7,
23,1982,Ezhavathu Manithan,K. Hariharan,"Raghuvaran, Rathna",null,Latha Creations,/wiki/Ezhavathu_Manithan,L. Vaidyanathan,2,6.7
24,1982,Garuda Saukiyama,K. S. Prakash Rao,"Sivaji Ganesan, Sujatha, Thiagarajan",null,Revathi Combines,/wiki/Garuda_Saukiyama,M. S. Viswanathan,3,
25,1982,Gopurangal Saivathillai,Manivannan,"Mohan, Suhasini, Radha, S. Ve. Shekher",null,Everest Films,/wiki/Gopurangal_Saivathillai,Ilaiyaraaja,4,6.5
26,1982,Hitler Umanath,P. Madhavan,"Sivaji Ganesan, K. R. Vijaya, Suruli Rajan",null,P. V. T. Productions,/wiki/Hitler_Umanath,M. S. Viswanathan,3,3.0
27,1982,Idhayam Pesugirathu,S. A. Chandrasekhar,"Raveendran, Ambika",null,Sangamam United Movies,/wiki/Idhayam_Pesugirathu,Shyam,2,
28,1982,Idho Varugiren,K. C. Krishna Moorthy,"Mohan, Srikamu",null,S. G. Films,/w/index.php?title=Idho_Varugiren&action=edit&redlink=1,Malaysiya Vasudevan,2,
29,1982,Ilanjodigal,Rama Narayanan,"Karthik, Suresh, Radha, Vijayashanti, Goundamani",null,Bairavi Films,/wiki/Ilanjodigal,Sankar Ganesh,5,
30,1982,Iniyavale Vaa,N. C. Chakravarthy,"Mohan, Raadhika, Rajesh, Menaka, Y. G. Mahendra, Silk Smitha",null,Aiswarya Art,/w/index.php?title=Iniyavale_Vaa&action=edit&redlink=1,Shyam,6,
31,1982,Kaadhal Oviyam,P. Bharathiraja,"Kannan[disambiguation needed], Radha, Archana, Janagaraj",null,Manoj Creations,/wiki/Kaadhal_Oviyam,Ilaiyaraaja,4,5.8
32,1982,Kadhalithu Paar,A. Jagannathan,"Mohan, Radha, Geetha",null,Sri Niranjani Films,/w/index.php?title=Kadhalithu_Paar&action=edit&redlink=1,Sankar Ganesh,3,
33,1982,Kaduvulluku Oru Kadidham,Kalanidhi,"Rajeev, Sivachandran, Saira Banu, Rani Padmini",null,J. V. L. Creation,/w/index.php?title=Kaduvulluku_Oru_Kadidham&action=edit&redlink=1,,4,5.0
34,1982,Kalyana Kaalam,Robert-Rajasekhar,"Suhasini, Janagaraj, Thyagu",null,K. R. K. Creations,/wiki/Kalyana_Kalam,Sankar Ganesh,3,
35,1982,Kanalukku Karaiyethu,,"Shankar, Aruna",null,Pushpanjali Productions,/wiki/Kanalukku_Karaiyethu,Sankar Ganesh,2,
36,1982,Kanavugal Karpanaigal,A. L. S. Kannappan,"Sarath Babu, Roopa, Rani Padmini",null,A. L. S. Enterprises,/wiki/Kanavugal_Karpanaigal,Gangai Amaran,3,
37,1982,Kanmani Poonga,Visu,"Visu, Saritha, Chakravarthy, Sivashankari, Kismu",null,Ananthi Films,/wiki/Kanmani_Poonga,M. S. Viswanathan,5,
38,1982,Kanne Radha,Rama Narayanan,"Karthik, Radha, Raja, Vanitha",null,Charuchithra Films,/wiki/Kanne_Radha,Ilaiyaraaja,4,
39,1982,Kannodu Kann,Vijay Krishnaraj,"Ravi, Sulakshana",null,Jaidevi Movies,/w/index.php?title=Kannodu_Kann&action=edit&redlink=1,Sankar Ganesh,2,
40,1982,Kathoduthan Naan Pesuven,M. A. Kaja,"Sripriya, Vijayan, Suruli Rajan, Manorama",null,Sri Mahamayi Enterprises,/w/index.php?title=Kathoduthan_Naan_Pesuven&action=edit&redlink=1,Sankar Ganesh,4,9.2
41,1982,Katrukenna Veli,K. N. Subbu,"Mohan, Radha, Geetha, Thengai Srinivasan",null,Bobby Films,/w/index.php?title=Katrukenna_Veli&action=edit&redlink=1,Sivaji Raja Sivaji Raja,4,
42,1982,Kavithai Malar,S. Devarajan,Madhavi,null,,/w/index.php?title=Kavithai_Malar&action=edit&redlink=1,Ilaiyaraaja,1,
