,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1966,Anbe Vaa,A. C. Tirulokchandar,"M. G. Ramachandran, B. Sarojadevi, Nagesh",null,A.V.M. Productions,/wiki/Anbe_Vaa,M. S. Viswanathan,3,7.0
2,1966,Annavin Aasai,Dada Mirasi,"Gemini Ganesan, Savitri, K. Balaji, K. R. Vijaya",null,Sujatha Cine Arts,/wiki/Annavin_Aasai,K. V. Mahadevan,4,
3,1966,Avan Pithana?,P. Neelakantan,"S. S. Rajendran, C. R. Vijayakumari, S. V. Sahasranamam",null,Umayal Productions,/wiki/Avan_Pithana%3F,R. Parthasarathi,3,
4,1966,Chandhrodhayam,K. Shankar,"M.G. Ramachandran, Jayalalitha, M. R. Radha",null,Saravana Films,/wiki/Chandhrodhayam,M. S. Viswanathan,3,7.1
5,1966,Chinnanchiru Ulagam,K. S. Gopalakrishnan,"Gemini Ganesan, K. R. Vijaya, Nagesh, Magic Radhika",null,Chitra Productions,/wiki/Chinnanchiru_Ulagam,K. V. Mahadevan,4,
6,1966,Chitthi,K. S. Gopalakrishnan,"Gemini Ganesan, Padmini, M. R. Radha, R. Muthuraman, Vijayasree, Vijaya Nirmala, Baby Rani",null,Chitra Productions,/wiki/Chitthi,M. S. Viswanathan,7,6.9
7,1966,Enga Pappa,B. R. Panthulu,"Ravichandran, Kumari Bharathi, Nagesh, K. A. Thangavelu, M. V. Rajamma, Manorama",null,Padmini Pictures,/wiki/Enga_Pappa,M. S. Viswanathan,6,
8,1966,Gowri Kalyanam,K. Shankar,"Jaishankar, Ravichandran, Jayalalitha",null,Saravana Combines,/wiki/Gowri_Kalyanam,M. S. Viswanathan,3,
9,1966,Iru Vallavargal,K. V. Srinivasan,"Jaishankar, R. S. Manohar, L. Vijayalakshmi",null,Modern Theaters,/wiki/Iru_Vallavargal,Vedha,3,
10,1966,Kathal Paduthum Padu,Joseph Thaliath Jr.,"Jaishankar, Nagesh, Vanishree",null,Citadel Studios,/wiki/Kathal_Paduthum_Padu,T. R. Pappa,3,
11,1966,Kattu Malligai,P. Subramanyam,"Prem Nazir, Vijyayalalitha",null,Merryland Pictures,/w/index.php?title=Kattu_Malligai&action=edit&redlink=1,G. Devarajan,2,
12,1966,Kodimalar,Sridhar,"Muthuraman, C. R. Vijayakumari, Nagesh",null,Sri Productions,/wiki/Kodimalar,M. S. Viswanathan,3,
13,1966,Kumari Penn,T. R. Ramanna,"Ravichandran, Jayalalitha, Nagesh",null,Vinayaka Pictures,/wiki/Kumari_Penn,M. S. Viswanathan,3,6.0
14,1966,Madras to Pondicherry,Thirumalai Mahalingam,"Nagesh, Ravichandran, A. Karunanidhi",null,Sunbeam Productions,/wiki/Madras_to_Pondicherry,T. K. Ramamoorthy,3,6.4
15,1966,Mahakavi Kalidas,R. R. Chandran,"Sivaji Ganesan, Soukar Janaki, R.S. Manohar",null,Kalpana Kalamandhir,/wiki/Mahakavi_Kalidas_(1966_film),K. V. Mahadevan,3,7.1
16,1966,Major Chandrakanth,K. Balachander,"Major Sundarrajan, Nagesh, Jayalalitha",null,A. V. M. Productions,/wiki/Major_Chandrakanth_(1966_film),V. Kumar,3,7.9
17,1966,Mani Magudam,S. S. Rajendran,"S. S. Rajendran, C. R. Vijayakumari, Jayalalitha",null,S. S. R.Pictures,/wiki/Mani_Magudam,K. V. Mahadevan,3,
18,1966,Marakka Mudiyumaa?,Murasoli Maran,"S. S. Rajendran, Devika, S. V. Sahasranamam",null,Mekala Pictures,/wiki/Marakka_Mudiyumaa%3F,T. K. Ramamoorthy,3,6.8
19,1966,Motor Sundaram Pillai,Balu,"Sivaji Ganesan, Sowcar Janaki, Ravichandran, Jayalalitha",null,Gemini Pictures,/wiki/Motor_Sundaram_Pillai,M. S. Viswanathan,4,
20,1966,Mugaraasi,M. A. Thirumugam,"M. G. Ramachandran, Gemini Ganesan, Jayalalitha",null,Devar Films,/wiki/Mugaraasi,K. V. Mahadevan,3,6.8
21,1966,Naam Moovar,Jambulingam,"Jaishankar, Ravichandran, L. Vijayalakshmi",null,Balan Pictures,/wiki/Naam_Moovar,S. M. Subbaiah Naidu,3,
22,1966,Naan Aanaiyittal,Chanakya,"M. G. Ramachandran, B. Sarojadevi, M. N. Nambiar",null,Satya Movies,/wiki/Naan_Aanaiyittal,M. S. Viswanathan,3,7.0
23,1966,Nadodi,B.R. Panthulu,"M. G. Ramachandran, B. Sarojadevi, Bharathi",null,Padmini Pictures,/wiki/Nadodi,M. S. Viswanathan,3,6.8
24,1966,Namma Veettu Lakshmi,B. R. Panthulu,"A. V. M. Rajan, B. R. Panthulu, Bharathi, Vanisri, M. V. Rajamma, Nagesh",null,Padmini Pictures,/wiki/Namma_Veettu_Lakshmi,M. S. Viswanathan,6,
25,1966,Panchali SabathamDubbed from Hindi,Babubhai Mistri,"Abhi Bhattacharya, Pradeep Kumar, Dara Singh, Padmini, Jeevan",null,Ramanand Combines,/wiki/Mahabharat_(1965_film),ChitraguptaD. Srinivas,5,5.1
26,1966,Parakkum Paavai,T. R. Ramanna,"M. G. Ramachandran, B. Sarojadevi, M.N. Nambiar",null,R. R. Pictures,/wiki/Parakkum_Paavai,M. S. Viswanathan,3,7.0
27,1966,Periya Manidhan,K. C. Krishnamoorthy,"T. K. Ramachandran, Udaya Chandrika",null,Saraswathi Pictures,/w/index.php?title=Periya_Manidhan&action=edit&redlink=1,S. V. Venkatraman,2,
28,1966,Petralthan Pillaiya,Krishnan-Panju,"M. G. Ramachandran, B. Sarojadevi, K.A. Thangavelu",null,Muthukumaran Pictures,/wiki/Petralthan_Pillaiya,M. S. Viswanathan,3,6.9
29,1966,Ramu,A. C. Tirulokchandar,"Gemini Ganesan, K.R. Vijaya, Master Rajkumar",null,A. V. M. Productions,/wiki/Ramu_(1966_film),M. S. Viswanathan,3,6.8
30,1966,Sadhu Mirandal,A. Bhim Singh,"T. R. Ramachandran, O. A. K. Thevar, Nagesh",null,Sunbeam Productions,/wiki/Sadhu_Mirandal,T. K. Ramamoorthy,3,
